base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_cand_wps,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_fuse_feasible,got_fuse_n,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.0063,0.0092,0.1641,0.0054,0.007,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,False,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.3264]","[-0.013, -25.0582, -232.5449, -330.8132, -441.9216, -983.2898, -14473.1387, -1523176.7182]","[2.7332, 2.7332, 2.7327, 2.7325, 2.7323, -1000981.3172, -1014471.166, -2523174.7455]","[0.035, 0.17, 1.121, 0.543, 0.507, 0.785, 1.832, 12.971]","[[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [1.1161, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [1.1161, 0.0], [1.6871, 0.0], [0.8306, 0.0], [-2.8813, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [1.1161, 0.0], [1.6871, 0.0], [0.2595, 0.0], [0.2595, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [1.1161, 0.0], [1.6871, 0.0], [-0.026, 0.0], [-0.026, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [1.1161, 0.0], [1.6871, 0.0], [-0.026, 0.0], [1.9727, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [7.9688, -0.1305], [3.1148, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [69.6432, 0.1305], [8.2543, 0.6527]]]",4.0885,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,0.0345,8.0,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,"[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]]",ok,12.9714,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,fd8420396768425eabec9bdddf7e64b6,scene-0003,42
0.1224,0.145,1.5888,0.2151,0.1712,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.1224,0.145,1.0178,0.2151,0.1712,0.3257,True,"[-0.0, -0.0, -0.0, -0.0, -0.4569, -0.0653, -0.0, -0.1305]","[-21.6175, -39.932, -134.4027, -1110.6865, -1385.0345, -1469.6562, -1652.4236, -343270.1788]","[3.2472, 3.2463, 3.2462, -1001108.3732, -1001382.722, -1001467.3429, -1001650.111, -1343267.8662]","[0.326, 0.318, 0.849, 0.511, 1.28, 0.624, 0.6, 5.682]","[[[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0], [4.5424, 0.0]], [[0.545, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0], [4.5424, 0.0]], [[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [4.5424, 0.0], [6.5412, 0.0]], [[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [4.828, 0.1305], [2.8293, 0.0]], [[0.545, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0], [10.253, 0.9138]], [[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [0.8306, 0.0], [4.2569, 0.1305]], [[0.545, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [5.1135, 0.2611], [2.5437, 0.0]], [[0.545, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [29.3835, 16.5798], [1.1161, -0.2611]]]",1.6912,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,0.3184,8.0,0.1224,0.145,1.0178,0.1931,0.1602,0.3184,"[[1.116, 0.0], [1.687, 0.0], [2.258, 0.0], [2.544, 0.0], [3.4, 0.0], [4.542, 0.0]]",ok,5.6818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6b9af38cbf654171870cb14b4ae89fd6,scene-0003,42
0.0852,0.5533,2.8013,0.2338,0.2781,0.6874,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,ok,straight,0.0852,0.3159,2.3419,0.2338,0.2188,0.5713,True,"[-0.0, -0.0, -0.0, -0.0, -0.0653, -0.1305, -0.0, -0.0]","[-53.5211, -79.1701, -303.5036, -307.2717, -837.9125, -1109.1315, -2430.4789, -14156.2575]","[3.9596, 3.9539, 3.9041, 3.8989, -1000835.0152, -1001106.2387, -1002427.586, -1014153.3646]","[0.429, 0.571, 0.949, 0.611, 2.424, 0.623, 0.829, 1.589]","[[[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [2.5437, 0.0], [4.2569, 0.0]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [2.5437, 0.0], [5.1135, 0.0]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [3.9714, 0.0], [5.9701, 0.0]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [2.5437, 0.0], [2.5437, 0.0], [5.1135, 0.0]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [5.6846, 0.0], [13.1083, -0.1305]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [2.5437, 0.0], [0.545, 0.0], [1.9727, 0.2611]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [2.5437, 0.0], [5.6846, 0.0], [2.2582, 0.0]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [2.5437, 0.0], [9.1109, 0.0], [1.1161, 0.0]]]",0.6336,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,0.4287,8.0,0.0852,0.3159,1.4865,0.2338,0.2188,0.4287,"[[0.259, 0.0], [1.116, 0.0], [1.687, 0.0], [1.687, 0.0], [2.544, 0.0], [5.113, 0.0]]",ok,2.4245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37b3d16060b442d5b6175cbebefd09a7,scene-0003,42
0.6693,1.5328,1.7145,0.6282,1.0243,1.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6693,1.5328,1.7145,0.6282,1.0243,1.3297,True,"[-0.0, -0.0, -0.0, -0.0, -0.2611, -0.0, -1.0444, -0.0653]","[-46.4526, -224.5737, -168.4051, -362.6377, -1016.1108, -1218.278, -2712.2227, -90258.1283]","[2.6031, 2.597, 2.597, 2.5905, -1001014.4147, -1001216.5838, -1002710.5266, -1090256.4342]","[1.33, 1.617, 1.197, 1.484, 1.308, 0.81, 1.812, 4.139]","[[[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [5.9701, 0.0], [7.3977, 0.0]], [[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [5.1135, -0.2611], [6.5412, 0.0]], [[1.9727, 0.0], [3.4003, 0.0], [3.6858, 0.0], [5.1135, 0.0], [5.9701, 0.0], [7.3977, 0.0]], [[1.9727, 0.0], [3.4003, 0.0], [3.6858, 0.0], [5.1135, 0.0], [6.5412, 0.1305], [5.1135, 0.0]], [[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [6.5412, -1.9582], [10.253, -0.5222]], [[1.9727, 0.0], [3.4003, 0.0], [3.6858, 0.0], [5.1135, 0.0], [8.8254, -0.1305], [8.2543, 0.0]], [[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [5.1135, 0.0], [12.2517, -2.0888]], [[1.9727, 0.0], [3.4003, 0.0], [3.6858, 0.0], [5.1135, 0.0], [6.5412, 16.5798], [4.2569, 0.1305]]]",0.9584,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,0.8101,8.0,0.1915,1.5328,0.8583,0.2312,0.8259,0.8101,"[[1.116, 0.0], [2.544, 0.0], [3.686, 0.0], [5.113, 0.0], [5.97, 0.0], [7.398, 0.0]]",ok,4.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08254b97198045d98009af51d144d147,scene-0003,42
0.3278,1.3075,1.7098,0.2143,0.6082,0.9387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.219,1.1167,1.7098,0.286,0.5964,0.9425,False,"[0.8486, 0.8486, 1.436, 3.9818, 1.3708, 0.2611, -0.5222, -1.3055]","[-259.7881, -237.8714, -1071.0416, -1312.2779, -1611.1967, -34419.1922, -90445.6872, -954451.1759]","[2.9186, 2.8949, -1001068.5705, -1001309.7831, -1001608.7018, -1034416.7212, -1090443.2161, -1954448.681]","[0.919, 0.943, 1.763, 1.958, 1.197, 4.191, 3.793, 10.052]","[[[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [17.3913, 0.7833], [21.3887, 1.6971]], [[3.1148, 0.0], [7.1122, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [17.3913, 0.7833], [21.3887, 1.6971]], [[3.1148, 0.0], [7.1122, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [16.2492, 1.3055], [14.536, 2.8721]], [[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [19.6755, 2.611], [26.8138, 7.9635]], [[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [15.3926, 1.8277], [23.6729, 2.7415]], [[3.1148, 0.0], [7.1122, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [3.4003, 0.1305], [13.1083, 0.5222]], [[3.1148, 0.0], [7.1122, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [16.8202, 16.5798], [16.8202, -1.0444]], [[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [69.6432, 1.6971], [21.3887, -2.611]]]",2.8751,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,0.9186,8.0,0.3278,1.1167,1.7098,0.2143,0.5605,0.9186,"[[3.115, 0.0], [7.112, 0.131], [10.539, 0.261], [13.108, 0.522], [17.391, 0.783], [21.389, 1.697]]",ok,10.0522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88a090c54cc844cc878f00d08274a683,scene-0012,42
0.3311,0.5222,1.8555,0.326,0.434,0.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.3311,0.5222,1.8555,0.326,0.434,0.9002,False,"[-0.1305, -0.1305, -0.9138, -0.0, -0.0653, -1.2402, -0.0, -1.5013]","[-178.253, -184.1414, -1510.8186, -2413.7493, -17760.0115, -23699.6775, -25323.1933, -34695.6875]","[3.8821, 3.8526, -1001508.5812, -1002411.5119, -1017757.7741, -1023697.4691, -1025320.9849, -1034693.4791]","[0.9, 1.131, 1.391, 0.954, 3.027, 2.689, 4.178, 2.768]","[[[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [24.8151, -0.2611], [29.6691, -0.2611]], [[5.399, 0.0], [10.253, 0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [24.8151, -0.2611], [29.6691, -0.2611]], [[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [26.5282, -0.3916], [30.2401, -1.8277]], [[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [21.1032, -0.7833], [29.6691, 0.0]], [[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [33.0954, -0.2611], [34.2375, 0.1305]], [[5.399, 0.0], [10.253, 0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [29.9546, -0.5222], [22.2453, 2.4804]], [[5.399, 0.0], [10.253, 0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [24.244, 0.0], [7.1122, 0.0]], [[5.399, 0.0], [10.253, 0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [33.0954, -0.2611], [25.9572, 3.0026]]]",1.1269,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,0.9002,8.0,0.3311,0.5222,1.8555,0.326,0.434,0.9002,"[[4.828, 0.0], [9.396, -0.131], [14.25, -0.131], [18.819, -0.131], [24.815, -0.261], [29.669, -0.261]]",ok,4.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f33e0c3f5d5c426593af8af1c27b68b8,scene-0012,42
1.7592,4.8823,7.162,1.3042,2.8724,4.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,right,1.2573,4.8823,6.8777,0.8646,2.6525,3.9013,True,"[1.2402, 0.7833, 1.2402, 1.0444, 2.5457, 2.0888, -0.2611, -8.2899]","[-322.0063, -562.0373, -1513.3846, -1745.6942, -4467.9526, -13492.562, -99537.533, -111214.0145]","[3.8863, 3.7402, -1001510.4837, -1001742.7933, -1004465.0827, -1013489.661, -1099534.6632, -1111211.1135]","[3.901, 2.643, 3.426, 2.781, 2.741, 5.006, 6.104, 8.168]","[[[5.399, 0.2611], [9.1109, -0.7833], [12.5373, -0.5222], [16.8202, -1.0444], [20.8176, -1.6971], [24.8151, -2.4804]], [[5.399, 0.2611], [9.1109, -0.7833], [12.5373, -0.5222], [16.8202, -1.0444], [23.6729, -1.436], [30.2401, -1.5666]], [[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [20.8176, -1.6971], [24.8151, -2.4804]], [[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [21.6742, -2.7415], [27.9559, -2.0888]], [[5.399, 0.2611], [9.1109, -0.7833], [12.5373, -0.5222], [16.8202, -1.0444], [25.6716, -2.611], [27.3848, -5.0914]], [[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [15.107, -1.0444], [21.1032, -4.1776]], [[5.399, 0.2611], [9.1109, -0.7833], [12.5373, -0.5222], [16.8202, -1.0444], [19.9611, 16.5798], [26.8138, 0.5222]], [[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [5.9701, -0.6527], [26.2427, 16.5798]]]",1.8406,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,2.643,8.0,1.2573,4.8823,2.1127,0.8646,2.6525,2.643,"[[5.399, 0.261], [9.111, -0.783], [12.537, -0.522], [16.82, -1.044], [20.818, -1.697], [24.815, -2.48]]",ok,8.1676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,045ecf94b83648229500b23058af3117,scene-0012,42
1.589,1.3397,2.2393,1.4364,1.4687,1.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,2.9856,1.3397,6.4683,2.2769,1.889,2.4813,False,"[0.8486, -1.3708, 1.5013, 8.2899, 0.8486, 0.718, 0.9138, 3.0679]","[-655.0729, -3152.8148, -3737.2846, -21698.9822, -5326.2702, -13859.2392, -16563.3178, -88440.2815]","[1.7122, -1003151.4125, -1003735.8824, -1021697.58, -2006602.1633, -2015135.1323, -2017839.211, -2089716.1746]","[1.908, 2.888, 3.062, 4.363, 1.628, 4.616, 1.833, 4.603]","[[[3.4003, 0.0], [5.9701, 0.2611], [11.1096, 0.3916], [15.3926, 0.7833], [19.1045, 1.6971], [24.8151, 1.6971]], [[3.4003, 0.0], [5.9701, 0.2611], [11.1096, 0.3916], [15.3926, 0.7833], [19.6755, 1.8277], [29.098, -2.7415]], [[3.4003, 0.0], [5.9701, 0.2611], [11.1096, 0.3916], [15.3926, 0.7833], [21.1032, 4.5692], [31.3822, 3.0026]], [[3.4003, 0.0], [5.9701, 0.2611], [11.1096, 0.3916], [15.3926, 0.7833], [14.2505, 1.6971], [25.3861, 16.5798]], [[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [19.1045, 1.6971], [24.8151, 1.6971]], [[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [23.3874, -2.4804], [38.235, 1.436]], [[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [21.9598, 1.6971], [21.1032, 1.8277]], [[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [25.6716, 16.5798], [29.098, 6.1358]]]",1.1931,0.0,0.0,0.0,0.0,0.0,0.0,False,[3],0.0,0.0,0.0,1.6279,8.0,0.1865,3.9085,2.7413,0.5894,1.4694,1.6279,"[[3.4, 0.0], [5.97, 0.261], [11.11, 0.392], [15.393, 0.783], [19.676, 1.828], [29.098, 1.697]]",ok,4.6158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818d76fdbcf49029de0e316a26f8903,scene-0012,42
0.6657,2.1543,5.354,0.6004,1.3545,2.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6657,2.4356,4.2266,0.6004,1.2833,2.1952,True,"[-0.0, -0.0, -1.1749, -0.4569, -1.8277, -0.9138, -0.3264, -2.0888]","[-83.199, -106.885, -166.7003, -1798.5096, -4167.2967, -4682.1244, -17692.6264, -245886.7146]","[4.1287, 4.11, 2.5565, -1001795.9612, -1004164.7484, -1004679.5576, -1017690.0596, -1245884.1662]","[2.195, 2.105, 3.24, 3.025, 1.822, 3.658, 3.62, 6.327]","[[[3.6858, 0.0], [6.8267, 0.0], [10.5386, 0.0], [14.2505, 0.0], [18.2479, 0.0], [20.8176, 0.0]], [[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [18.2479, 0.0], [20.8176, 0.0]], [[3.6858, 0.0], [6.8267, 0.0], [10.5386, 0.0], [14.2505, 0.0], [19.6755, -0.5222], [25.1006, -2.3499]], [[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [20.8176, -1.0444], [23.6729, 0.9138]], [[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [15.9636, -2.3499], [15.6781, 3.6554]], [[3.6858, 0.0], [6.8267, 0.0], [10.5386, 0.0], [14.2505, 0.0], [17.3913, 0.5222], [30.5257, 1.8277]], [[3.6858, 0.0], [6.8267, 0.0], [10.5386, 0.0], [14.2505, 0.0], [18.5334, -2.8721], [5.399, 0.6527]], [[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [43.9456, -0.1305], [18.5334, 4.1776]]]",1.3363,0.0,0.0,0.0,0.0,0.0,0.0,True,[3],0.0,0.0,0.0,1.822,8.0,0.3862,2.4356,3.0564,0.3301,1.1482,1.822,"[[3.686, 0.0], [6.827, 0.0], [10.539, 0.0], [14.25, 0.0], [18.248, 0.0], [20.818, 0.0]]",ok,6.3271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b9c60cfaf1814c8bb363037dec7abd35,scene-0013,42
0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.2074,1.5803,0.6538,0.1519,0.5075,0.58,False,"[-0.0653, -0.0653, -0.0653, -0.1958, -0.1958, -1.0444, -0.0, -2.3499]","[-291.4101, -1178.2814, -1638.5444, -2325.775, -2726.1548, -3415.5969, -7073.4627, -9029.9051]","[5.0464, -1001175.2901, -1001635.5532, -1002322.7838, -1002722.7875, -1003412.2297, -1007070.0954, -1009026.9138]","[0.483, 0.58, 1.157, 1.608, 0.893, 0.919, 1.22, 1.762]","[[[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [16.2492, 0.0], [19.9611, -0.1305]], [[3.4003, 0.0], [6.5412, 0.0], [9.9675, 0.0], [14.8215, 0.1305], [16.2492, 0.0], [19.9611, -0.1305]], [[3.4003, 0.0], [6.5412, 0.0], [9.9675, 0.0], [14.8215, 0.1305], [19.6755, 0.0], [18.2479, -0.1305]], [[3.4003, 0.0], [6.5412, 0.0], [9.9675, 0.0], [14.8215, 0.1305], [18.2479, -0.5222], [14.2505, 0.3916]], [[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [19.39, -0.7833], [21.6742, -0.3916]], [[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [19.1045, 0.0], [19.6755, 2.0888]], [[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [21.3887, 0.3916], [21.9598, 0.0]], [[3.4003, 0.0], [6.5412, 0.0], [9.9675, 0.0], [14.8215, 0.1305], [13.6794, 0.0], [21.9598, -4.6998]]]",0.4239,0.0,0.0,0.0,0.0,0.0,0.0,False,[3],0.0,0.0,0.0,0.4828,8.0,0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,"[[3.4, 0.0], [6.541, 0.0], [9.968, 0.0], [14.822, 0.131], [16.249, 0.0], [19.961, -0.131]]",ok,1.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615d82e7e8546fea5f181157f42e30b,scene-0013,42
