base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_cand_wps,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_fuse_feasible,got_fuse_n,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.0063,0.0092,0.1641,0.0054,0.007,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0063,0.9978,3.9765,0.0054,0.3945,1.3523,False,"[-0.0, -0.0, -0.0653, -0.0]","[-145.4047, -202.9546, -954.4403, -52800.2919]","[-2450997.3076, -2450997.3101, -3451952.9153, -3503798.7668]","[0.293, 0.333, 2.376, 16.606]","[[[-0.026, 0.0], [-0.026, 0.0], [0.545, 0.0], [0.9733, 0.0], [-0.026, 0.0], [-0.026, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [0.545, 0.0], [0.9733, 0.0], [-0.026, 0.0], [0.545, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [0.545, 0.0], [0.9733, 0.0], [5.1135, 0.1305], [7.6833, -0.1305]], [[-0.026, 0.0], [-0.026, 0.0], [0.545, 0.0], [0.9733, 0.0], [28.5269, 0.7833], [69.6432, 0.0]]]",6.8096,0.0,0.0,0.0,0.0,0.0,0.0,True,"[3, 4, 4]",0.0,0.0,0.0,0.2928,4.0,0.0063,0.9978,0.1641,0.0054,0.3945,0.2928,"[[-0.026, 0.0], [-0.026, 0.0], [0.545, 0.0], [0.973, 0.0], [2.544, 0.065], [4.114, 0.0]]",ok,16.606,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,fd8420396768425eabec9bdddf7e64b6,scene-0003,42
0.1224,0.145,1.5888,0.2151,0.1712,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.1224,0.2899,1.5888,0.0741,0.1723,0.6833,False,"[-0.0, -0.0653, -0.0, -0.0]","[-73.9366, -1551.1144, -5162.2109, -19436.2318]","[-811135.9192, -1812688.4568, -1816299.5533, -1830573.5742]","[0.326, 1.052, 0.891, 1.849]","[[[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0653], [3.4003, 0.0], [4.5424, 0.0]], [[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0653], [2.2582, 0.0], [8.2543, 0.1305]], [[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0653], [6.5412, 0.0], [2.2582, 0.0]], [[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0653], [11.3952, -0.1305], [5.6846, 0.0]]]",0.5445,0.0,0.0,0.0,0.0,0.0,0.0,True,"[4, 4, 4]",0.0,0.0,0.0,0.3265,4.0,0.1224,0.2899,1.0178,0.0741,0.1723,0.3265,"[[0.831, 0.0], [1.687, 0.0], [2.401, 0.0], [2.401, 0.065], [4.971, 0.0], [5.113, 0.0]]",ok,1.8494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6b9af38cbf654171870cb14b4ae89fd6,scene-0003,42
0.0852,0.5533,2.8013,0.2338,0.2781,0.6874,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,ok,straight,1.9228,1.2646,1.0675,1.0103,0.8442,0.9399,False,"[-0.1305, -0.0653, -0.0, -0.0]","[-1895.5741, -2192.9301, -2311.1224, -2975.0214]","[-2800776.6922, -2801074.0482, -2801192.2406, -2801856.1396]","[2.176, 0.934, 1.111, 0.988]","[[[0.545, 0.0], [3.1148, 0.0], [1.6871, 0.0], [3.2576, 0.0], [5.6846, 0.0], [9.1109, -0.2611]], [[0.545, 0.0], [3.1148, 0.0], [1.6871, 0.0], [3.2576, 0.0], [4.2569, 0.1305], [2.5437, -0.1305]], [[0.545, 0.0], [3.1148, 0.0], [1.6871, 0.0], [3.2576, 0.0], [2.8293, 0.0], [-0.026, 0.0]], [[0.545, 0.0], [3.1148, 0.0], [1.6871, 0.0], [3.2576, 0.0], [2.5437, 0.0], [5.1135, 0.0]]]",0.5086,0.0,0.0,0.0,0.0,0.0,0.0,False,"[4, 4, 4]",0.0,0.0,0.0,0.9345,4.0,1.9228,1.2646,0.3239,1.0103,0.8442,0.9345,"[[0.545, 0.0], [3.115, 0.0], [1.687, 0.0], [3.258, 0.0], [3.543, 0.0], [3.829, -0.065]]",ok,2.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37b3d16060b442d5b6175cbebefd09a7,scene-0003,42
0.6693,1.5328,1.7145,0.6282,1.0243,1.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6693,0.4669,1.2862,0.6126,0.8215,1.1951,True,"[-0.0653, -0.0, -0.0653, -0.9791]","[-953.3712, -1181.7952, -2525.7472, -5235.2513]","[-1595162.5105, -2596345.7208, -2597689.6728, -2600399.177]","[1.148, 1.194, 1.198, 1.521]","[[[2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0653], [6.2556, 0.2611], [6.2556, 0.1305], [7.3977, -0.1305]], [[2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0653], [6.2556, 0.2611], [5.9701, 0.0], [7.3977, 0.0]], [[2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0653], [6.2556, 0.2611], [5.1135, 0.1305], [8.2543, 0.1305]], [[2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0653], [6.2556, 0.2611], [4.5424, 0.2611], [10.253, -1.9582]]]",0.149,0.0,0.0,0.0,0.0,0.0,0.0,False,"[4, 4, 4]",0.0,0.0,0.0,1.1482,4.0,0.6693,0.4669,1.7168,0.6126,0.8215,1.1482,"[[2.258, 0.0], [2.544, 0.0], [3.4, 0.065], [6.256, 0.261], [5.542, 0.131], [7.826, -0.065]]",ok,1.5212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08254b97198045d98009af51d144d147,scene-0003,42
0.3278,1.3075,1.7098,0.2143,0.6082,0.9387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.2995,2.3655,2.7836,0.2582,0.8825,1.4124,False,"[0.8486, 0.5875, 0.0, -8.2899]","[-1297.8465, -8501.1792, -12392.4754, -36767.3436]","[-2050163.7033, -2057367.0359, -2061258.3322, -2085633.2003]","[1.133, 1.461, 3.857, 4.728]","[[[3.2576, 0.0], [6.9694, 0.0653], [10.3958, 0.1958], [12.109, -0.2611], [17.3913, 0.7833], [21.3887, 1.6971]], [[3.2576, 0.0], [6.9694, 0.0653], [10.3958, 0.1958], [12.109, -0.2611], [20.5321, 1.6971], [20.8176, 1.1749]], [[3.2576, 0.0], [6.9694, 0.0653], [10.3958, 0.1958], [12.109, -0.2611], [18.5334, 2.3499], [39.3771, 0.0]], [[3.2576, 0.0], [6.9694, 0.0653], [10.3958, 0.1958], [12.109, -0.2611], [22.2453, 1.1749], [19.39, -16.5798]]]",1.5333,0.0,0.0,0.0,0.0,0.0,0.0,False,"[4, 4, 4]",0.0,0.0,0.0,1.1333,4.0,0.2995,2.3655,1.7098,0.2582,0.8825,1.1333,"[[3.258, 0.0], [6.969, 0.065], [10.396, 0.196], [12.109, -0.261], [19.533, 1.436], [21.103, 0.587]]",ok,4.7279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88a090c54cc844cc878f00d08274a683,scene-0012,42
0.3311,0.5222,1.8555,0.326,0.434,0.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.734,1.649,1.7331,0.6702,0.8954,1.2594,False,"[-0.1305, -0.5875, -0.0653, -0.1958]","[-148.3322, -2222.6572, -3167.1071, -24126.5904]","[-921091.4055, -1923315.3735, -1924259.8234, -1945219.3067]","[1.208, 1.639, 1.306, 2.639]","[[[5.1135, 0.0], [9.8247, -0.1305], [14.2505, -0.1958], [19.8183, -0.6527], [24.8151, -0.2611], [29.6691, -0.2611]], [[5.1135, 0.0], [9.8247, -0.1305], [14.2505, -0.1958], [19.8183, -0.6527], [25.6716, -0.3916], [24.5295, -1.1749]], [[5.1135, 0.0], [9.8247, -0.1305], [14.2505, -0.1958], [19.8183, -0.6527], [22.5308, 0.6527], [31.3822, -0.1305]], [[5.1135, 0.0], [9.8247, -0.1305], [14.2505, -0.1958], [19.8183, -0.6527], [33.6665, -0.5222], [29.3835, -0.3916]]]",0.5662,0.0,0.0,0.0,0.0,0.0,0.0,True,"[4, 4, 4]",0.0,0.0,0.0,1.2078,4.0,0.734,1.649,1.8555,0.6702,0.8954,1.2078,"[[5.113, 0.0], [9.825, -0.131], [14.25, -0.196], [19.818, -0.653], [25.243, -0.326], [29.526, -0.326]]",ok,2.6385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f33e0c3f5d5c426593af8af1c27b68b8,scene-0012,42
1.7592,4.8823,7.162,1.3042,2.8724,4.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,right,1.471,3.8761,6.5133,1.0893,2.3727,3.5524,True,"[1.2402, 0.7833, 8.2899, -0.0]","[-253.733, -361.8612, -11957.6386, -105651.2357]","[-1246661.341, -1246661.4808, -2258619.2405, -2352312.8376]","[3.715, 3.234, 4.323, 6.163]","[[[4.3997, -0.0653], [8.8254, -0.3916], [13.1083, -0.4569], [17.8196, -1.1749], [20.8176, -1.6971], [24.8151, -2.4804]], [[4.3997, -0.0653], [8.8254, -0.3916], [13.1083, -0.4569], [17.8196, -1.1749], [22.2453, -0.3916], [26.8138, -1.5666]], [[4.3997, -0.0653], [8.8254, -0.3916], [13.1083, -0.4569], [17.8196, -1.1749], [26.5282, -3.6554], [25.1006, -16.5798]], [[4.3997, -0.0653], [8.8254, -0.3916], [13.1083, -0.4569], [17.8196, -1.1749], [18.5334, 16.5798], [25.3861, 0.0]]]",1.1109,0.0,0.0,0.0,0.0,0.0,0.0,True,"[4, 4, 4]",0.0,0.0,0.0,3.2339,4.0,1.471,3.8761,5.0939,1.0893,2.3727,3.2339,"[[4.4, -0.065], [8.825, -0.392], [13.108, -0.457], [17.82, -1.175], [21.531, -1.044], [25.243, -2.024]]",ok,6.1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,045ecf94b83648229500b23058af3117,scene-0012,42
1.589,1.3397,2.2393,1.4364,1.4687,1.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.7497,1.5463,14.6565,1.0168,1.0912,4.3514,False,"[0.8486, 8.2899, 8.2899, 8.2899]","[-2066.8424, -13502.5479, -44456.7818, -68366.8063]","[-2062597.2557, -2074032.9612, -2104987.1952, -2128897.2197]","[1.376, 3.335, 5.636, 6.914]","[[[3.6858, 0.0], [8.2543, 0.1958], [12.109, 0.4569], [17.3913, 0.718], [19.1045, 1.6971], [24.8151, 1.6971]], [[3.6858, 0.0], [8.2543, 0.1958], [12.109, 0.4569], [17.3913, 0.718], [17.9623, 2.8721], [28.2414, 16.5798]], [[3.6858, 0.0], [8.2543, 0.1958], [12.109, 0.4569], [17.3913, 0.718], [19.1045, 16.5798], [31.6678, 16.5798]], [[3.6858, 0.0], [8.2543, 0.1958], [12.109, 0.4569], [17.3913, 0.718], [18.5334, 16.5798], [42.2324, 16.5798]]]",2.1272,0.0,0.0,0.0,0.0,0.0,0.0,False,"[4, 4, 4]",0.0,0.0,0.0,1.3757,4.0,0.7497,1.5463,2.7413,1.0168,1.0912,1.3757,"[[3.686, 0.0], [8.254, 0.196], [12.109, 0.457], [17.391, 0.718], [18.819, 9.726], [29.955, 16.58]]",ok,6.9144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818d76fdbcf49029de0e316a26f8903,scene-0012,42
0.6657,2.1543,5.354,0.6004,1.3545,2.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.233,2.728,4.3373,0.7414,1.745,2.6813,False,"[-0.0, -0.9138, -1.1097, -0.1958]","[-295.8996, -1101.7188, -3560.2596, -16721.5886]","[-500970.3703, -1502074.0488, -1504532.5895, -1517693.9185]","[2.503, 2.653, 2.559, 6.911]","[[[3.4003, 0.0], [7.3977, 0.0], [11.8235, 0.0653], [14.536, -0.0653], [18.2479, 0.0], [20.8176, 0.0]], [[3.4003, 0.0], [7.3977, 0.0], [11.8235, 0.0653], [14.536, -0.0653], [18.2479, 1.0444], [21.1032, -1.8277]], [[3.4003, 0.0], [7.3977, 0.0], [11.8235, 0.0653], [14.536, -0.0653], [20.2466, 0.7833], [18.8189, 2.2193]], [[3.4003, 0.0], [7.3977, 0.0], [11.8235, 0.0653], [14.536, -0.0653], [20.5321, 0.7833], [45.0877, 0.3916]]]",1.8796,0.0,0.0,0.0,0.0,0.0,0.0,False,"[4, 4, 4]",0.0,0.0,0.0,2.503,4.0,1.233,2.728,4.2266,0.7414,1.745,2.503,"[[3.4, 0.0], [7.398, 0.0], [11.823, 0.065], [14.536, -0.065], [19.247, 0.783], [20.96, 0.196]]",ok,6.9108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b9c60cfaf1814c8bb363037dec7abd35,scene-0013,42
0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.4981,1.0086,0.8688,1.0105,0.865,0.9268,False,"[-0.0653, -0.0, -0.4569, -0.0653]","[-705.6006, -1151.1315, -1156.1816, -9359.5808]","[-1324198.8899, -2325351.1313, -2325356.1814, -2333559.5807]","[0.818, 1.569, 1.142, 1.767]","[[[3.8286, 0.0], [7.826, -0.1305], [10.253, 0.0], [14.2505, 0.0653], [16.2492, 0.0], [19.9611, -0.1305]], [[3.8286, 0.0], [7.826, -0.1305], [10.253, 0.0], [14.2505, 0.0653], [15.3926, 1.3055], [16.5347, 0.0]], [[3.8286, 0.0], [7.826, -0.1305], [10.253, 0.0], [14.2505, 0.0653], [19.1045, 0.6527], [19.39, 0.9138]], [[3.8286, 0.0], [7.826, -0.1305], [10.253, 0.0], [14.2505, 0.0653], [13.3939, 0.1305], [23.9585, -0.1305]]]",0.369,0.0,0.0,0.0,0.0,0.0,0.0,True,"[4, 4, 4]",0.0,0.0,0.0,0.8183,4.0,1.4981,1.0086,0.6538,1.0105,0.865,0.8183,"[[3.829, 0.0], [7.826, -0.131], [10.253, 0.0], [14.25, 0.065], [15.821, 0.392], [19.676, -0.065]]",ok,1.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615d82e7e8546fea5f181157f42e30b,scene-0013,42
