base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_cand_wps,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_fuse_feasible,got_fuse_n,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.0063,0.0092,0.1641,0.0054,0.007,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,False,"[-0.0, -0.0, -0.0653, -0.0]","[-0.013, -6.2743, -2027.5609, -57163.7713]","[3.3649, 3.3647, -1002025.378, -1057161.5884]","[0.035, 0.075, 2.117, 16.348]","[[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [0.545, 0.0]], [[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [5.1135, 0.1305], [7.6833, -0.1305]], [[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [28.5269, 0.7833], [69.6432, 0.0]]]",6.8096,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,0.0345,4.0,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,"[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]]",ok,16.3477,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,fd8420396768425eabec9bdddf7e64b6,scene-0003,42
0.1224,0.145,1.5888,0.2151,0.1712,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.1224,0.145,1.0178,0.2151,0.1712,0.3257,True,"[-0.0, -0.0653, -0.0, -0.0]","[-21.6175, -1698.223, -4603.0459, -18121.5641]","[4.7637, -1001694.8912, -1004599.7142, -1018118.2324]","[0.326, 1.051, 0.891, 1.849]","[[[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [3.4003, 0.0], [4.5424, 0.0]], [[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [2.2582, 0.0], [8.2543, 0.1305]], [[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [6.5412, 0.0], [2.2582, 0.0]], [[1.1161, 0.0], [1.6871, 0.0], [2.2582, 0.0], [2.5437, 0.0], [11.3952, -0.1305], [5.6846, 0.0]]]",0.5445,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,0.3257,4.0,0.1224,0.145,1.0178,0.2151,0.1712,0.3257,"[[1.116, 0.0], [1.687, 0.0], [2.258, 0.0], [2.544, 0.0], [3.4, 0.0], [4.542, 0.0]]",ok,1.8487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6b9af38cbf654171870cb14b4ae89fd6,scene-0003,42
0.0852,0.5533,2.8013,0.2338,0.2781,0.6874,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,ok,straight,0.0852,0.3159,2.3419,0.2338,0.2188,0.5713,True,"[-0.0, -0.0, -0.1305, -0.0653]","[-79.1701, -782.6649, -979.3353, -1364.3724]","[4.9952, -1000780.1223, -1000976.7927, -1001361.8298]","[0.571, 0.694, 1.76, 0.518]","[[[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [2.5437, 0.0], [5.1135, 0.0]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [2.8293, 0.0], [-0.026, 0.0]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [5.6846, 0.0], [9.1109, -0.2611]], [[0.2595, 0.0], [1.1161, 0.0], [1.6871, 0.0], [1.6871, 0.0], [4.2569, 0.1305], [2.5437, -0.1305]]]",0.5086,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,0.5176,4.0,0.0852,0.3159,0.3239,0.2338,0.2188,0.5176,"[[0.259, 0.0], [1.116, 0.0], [1.687, 0.0], [1.687, 0.0], [2.544, 0.0], [5.113, 0.0]]",ok,1.7595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37b3d16060b442d5b6175cbebefd09a7,scene-0003,42
0.6693,1.5328,1.7145,0.6282,1.0243,1.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6693,1.5328,1.7145,0.6282,1.0243,1.3297,True,"[-0.0, -0.0653, -0.0653, -0.9791]","[-46.4526, -24.2577, -579.6488, -2461.2486]","[3.4383, 3.2998, -1000577.6274, -1002459.2272]","[1.33, 1.283, 1.333, 1.656]","[[[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [5.9701, 0.0], [7.3977, 0.0]], [[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [6.2556, 0.1305], [7.3977, -0.1305]], [[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [5.1135, 0.1305], [8.2543, 0.1305]], [[1.1161, 0.0], [2.5437, 0.0], [3.6858, 0.0], [5.1135, 0.0], [4.5424, 0.2611], [10.253, -1.9582]]]",0.149,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,1.2834,4.0,0.6693,1.5328,1.7168,0.6282,1.0243,1.2834,"[[1.116, 0.0], [2.544, 0.0], [3.686, 0.0], [5.113, 0.0], [5.97, 0.0], [7.398, 0.0]]",ok,1.6564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08254b97198045d98009af51d144d147,scene-0003,42
0.3278,1.3075,1.7098,0.2143,0.6082,0.9387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.3278,1.1167,1.7098,0.2143,0.5605,0.9186,True,"[0.8486, 0.5875, 0.0, -8.2899]","[-259.7881, -4907.2917, -12359.0037, -29891.4758]","[4.4927, -1004904.5002, -1012356.2121, -1029888.6842]","[0.919, 1.247, 3.643, 4.513]","[[[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [17.3913, 0.7833], [21.3887, 1.6971]], [[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [20.5321, 1.6971], [20.8176, 1.1749]], [[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [18.5334, 2.3499], [39.3771, 0.0]], [[3.4003, 0.0], [6.8267, 0.1305], [10.5386, 0.2611], [13.1083, 0.5222], [22.2453, 1.1749], [19.39, -16.5798]]]",1.5333,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,0.9186,4.0,0.3278,1.1167,1.7098,0.2143,0.5605,0.9186,"[[3.4, 0.0], [6.827, 0.131], [10.539, 0.261], [13.108, 0.522], [17.391, 0.783], [21.389, 1.697]]",ok,4.5132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88a090c54cc844cc878f00d08274a683,scene-0012,42
0.3311,0.5222,1.8555,0.326,0.434,0.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.3311,0.5222,1.8555,0.326,0.434,0.9002,False,"[-0.1305, -0.0653, -0.5875, -0.1958]","[-178.253, -1355.099, -3533.7648, -30172.7525]","[4.2066, -1001352.1513, -1003530.8171, -1030169.8047]","[0.9, 0.998, 1.332, 2.331]","[[[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [24.8151, -0.2611], [29.6691, -0.2611]], [[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [22.5308, 0.6527], [31.3822, -0.1305]], [[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [25.6716, -0.3916], [24.5295, -1.1749]], [[4.828, 0.0], [9.3964, -0.1305], [14.2505, -0.1305], [18.8189, -0.1305], [33.6665, -0.5222], [29.3835, -0.3916]]]",0.5662,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,0.9002,4.0,0.3311,0.5222,1.8555,0.326,0.434,0.9002,"[[4.828, 0.0], [9.396, -0.131], [14.25, -0.131], [18.819, -0.131], [24.815, -0.261], [29.669, -0.261]]",ok,2.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f33e0c3f5d5c426593af8af1c27b68b8,scene-0012,42
1.7592,4.8823,7.162,1.3042,2.8724,4.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,right,1.2573,2.8712,5.0939,0.8646,1.9404,2.9457,True,"[0.7833, 1.2402, 8.2899, -0.0]","[-1305.8533, -1513.3846, -10340.7664, -110536.6235]","[2.5314, -1001510.9561, -1010338.3379, -1110534.195]","[2.946, 3.426, 4.035, 5.875]","[[[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [22.2453, -0.3916], [26.8138, -1.5666]], [[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [20.8176, -1.6971], [24.8151, -2.4804]], [[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [26.5282, -3.6554], [25.1006, -16.5798]], [[5.399, 0.2611], [9.1109, -0.7833], [13.3939, -0.3916], [18.8189, -1.3055], [18.5334, 16.5798], [25.3861, 0.0]]]",1.1109,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,2.9457,4.0,1.2573,2.8712,5.0939,0.8646,1.9404,2.9457,"[[5.399, 0.261], [9.111, -0.783], [13.394, -0.392], [18.819, -1.305], [22.245, -0.392], [26.814, -1.567]]",ok,5.8746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,045ecf94b83648229500b23058af3117,scene-0012,42
1.589,1.3397,2.2393,1.4364,1.4687,1.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.1865,3.9085,2.7413,0.5894,1.4694,1.6279,False,"[0.8486, 8.2899, 8.2899, 8.2899]","[-5326.2702, -10134.7319, -42451.5089, -55474.8561]","[-2006602.1633, -2011410.625, -2043727.402, -2056750.7492]","[1.628, 3.587, 5.888, 7.166]","[[[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [19.1045, 1.6971], [24.8151, 1.6971]], [[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [17.9623, 2.8721], [28.2414, 16.5798]], [[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [19.1045, 16.5798], [31.6678, 16.5798]], [[3.9714, 0.1305], [9.1109, 0.3916], [13.1083, 0.3916], [12.5373, 0.6527], [18.5334, 16.5798], [42.2324, 16.5798]]]",2.1272,0.0,0.0,0.0,0.0,0.0,0.0,False,"[1, 1, 1]",0.0,0.0,0.0,1.6279,4.0,0.1865,3.9085,2.7413,0.5894,1.4694,1.6279,"[[3.971, 0.131], [9.111, 0.392], [13.108, 0.392], [12.537, 0.653], [19.104, 1.697], [24.815, 1.697]]",ok,7.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818d76fdbcf49029de0e316a26f8903,scene-0012,42
0.6657,2.1543,5.354,0.6004,1.3545,2.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.3862,2.4356,4.2266,0.3301,1.1482,2.1051,True,"[-0.0, -0.9138, -1.1097, -0.1958]","[-106.885, -851.8935, -3151.6776, -16124.3584]","[5.2083, -1000848.6359, -1003148.42, -1016121.1008]","[2.105, 2.255, 2.161, 6.513]","[[[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [18.2479, 0.0], [20.8176, 0.0]], [[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [18.2479, 1.0444], [21.1032, -1.8277]], [[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [20.2466, 0.7833], [18.8189, 2.2193]], [[3.4003, 0.1305], [6.5412, 0.0], [10.5386, 0.0], [14.2505, 0.0], [20.5321, 0.7833], [45.0877, 0.3916]]]",1.8796,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,2.1051,4.0,0.3862,2.4356,4.2266,0.3301,1.1482,2.1051,"[[3.4, 0.131], [6.541, 0.0], [10.539, 0.0], [14.25, 0.0], [18.248, 0.0], [20.818, 0.0]]",ok,6.5129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b9c60cfaf1814c8bb363037dec7abd35,scene-0013,42
0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.2074,0.4271,3.9509,0.1519,0.3617,1.2331,False,"[-0.0, -0.0653, -0.4569, -0.0653]","[-672.0783, -291.4101, -3433.6141, -5153.0052]","[5.4408, 5.27, -1003429.8405, -1005149.2315]","[1.233, 0.483, 0.807, 1.431]","[[[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [15.3926, 1.3055], [16.5347, 0.0]], [[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [16.2492, 0.0], [19.9611, -0.1305]], [[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [19.1045, 0.6527], [19.39, 0.9138]], [[3.4003, 0.0], [6.5412, 0.0], [10.5386, 0.0], [12.8228, 0.0], [13.3939, 0.1305], [23.9585, -0.1305]]]",0.369,0.0,0.0,0.0,0.0,0.0,0.0,True,"[1, 1, 1]",0.0,0.0,0.0,0.4828,4.0,0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,"[[3.4, 0.0], [6.541, 0.0], [10.539, 0.0], [12.823, 0.0], [15.393, 1.305], [16.535, 0.0]]",ok,1.4314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615d82e7e8546fea5f181157f42e30b,scene-0013,42
