base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_cand_wps,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_fuse_feasible,got_fuse_n,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.0063,0.0092,0.1641,0.0054,0.007,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,34.8333,0.9978,3.6917,17.4189,9.2797,7.2283,False,"[-0.0653, -0.0, -0.0, -0.0]","[-593532.0992, -597770.5556, -597815.0611, -622248.9804]","[-4618945.3937, -4623183.8501, -4623228.3556, -4647662.2749]","[8.299, 6.216, 6.257, 22.529]","[[[-0.026, 0.0], [34.8086, 0.0], [1.2588, 0.0], [0.9733, 0.0], [5.1135, 0.1305], [7.6833, -0.1305]], [[-0.026, 0.0], [34.8086, 0.0], [1.2588, 0.0], [0.9733, 0.0], [-0.026, 0.0], [-0.026, 0.0]], [[-0.026, 0.0], [34.8086, 0.0], [1.2588, 0.0], [0.9733, 0.0], [-0.026, 0.0], [0.545, 0.0]], [[-0.026, 0.0], [34.8086, 0.0], [1.2588, 0.0], [0.9733, 0.0], [28.5269, 0.7833], [69.6432, 0.0]]]",6.8096,0.0,0.0,0.0,0.0,0.0,0.0,False,"[2, 2, 2]",0.0,0.0,0.0,6.2163,4.0,34.8333,0.9978,0.1641,17.4189,9.2797,6.2163,"[[-0.026, 0.0], [34.809, 0.0], [1.259, 0.0], [0.973, 0.0], [2.544, 0.065], [3.829, -0.065]]",ok,22.5294,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,fd8420396768425eabec9bdddf7e64b6,scene-0003,42
0.1224,0.145,1.5888,0.2151,0.1712,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.1224,0.287,2.8743,0.0741,0.1716,0.6468,False,"[-0.0, -0.0653, -0.0, -0.0]","[-69.3323, -1530.2541, -5105.458, -19169.9646]","[4.5728, -1001527.1053, -1005102.3092, -1019166.8159]","[0.326, 1.051, 0.891, 1.849]","[[[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0], [3.4003, 0.0], [4.5424, 0.0]], [[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0], [2.2582, 0.0], [8.2543, 0.1305]], [[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0], [6.5412, 0.0], [2.2582, 0.0]], [[0.8306, 0.0], [1.6871, 0.0], [2.401, 0.0], [2.401, 0.0], [11.3952, -0.1305], [5.6846, 0.0]]]",0.5445,0.0,0.0,0.0,0.0,0.0,0.0,False,"[2, 2, 2]",0.0,0.0,0.0,0.326,4.0,0.1224,0.287,1.0178,0.0741,0.1716,0.326,"[[0.831, 0.0], [1.687, 0.0], [2.401, 0.0], [2.401, 0.0], [2.829, 0.0], [6.398, 0.065]]",ok,1.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6b9af38cbf654171870cb14b4ae89fd6,scene-0003,42
0.0852,0.5533,2.8013,0.2338,0.2781,0.6874,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,ok,straight,0.9238,0.1398,4.3446,0.7245,0.4201,1.2983,False,"[-0.0, -0.1305, -0.0, -0.0653]","[-684.4523, -962.7941, -1015.314, -1356.6648]","[-500370.0317, -1501335.0712, -1501387.5911, -1501728.9419]","[0.705, 1.894, 0.828, 0.652]","[[[0.1167, 0.0], [2.1154, 0.0], [1.6871, 0.0], [2.1154, 0.0], [2.5437, 0.0], [5.1135, 0.0]], [[0.1167, 0.0], [2.1154, 0.0], [1.6871, 0.0], [2.1154, 0.0], [5.6846, 0.0], [9.1109, -0.2611]], [[0.1167, 0.0], [2.1154, 0.0], [1.6871, 0.0], [2.1154, 0.0], [2.8293, 0.0], [-0.026, 0.0]], [[0.1167, 0.0], [2.1154, 0.0], [1.6871, 0.0], [2.1154, 0.0], [4.2569, 0.1305], [2.5437, -0.1305]]]",0.5086,0.0,0.0,0.0,0.0,0.0,0.0,True,"[2, 2, 2]",0.0,0.0,0.0,0.6518,4.0,0.9238,0.1398,0.3239,0.7245,0.4201,0.6518,"[[0.117, 0.0], [2.115, 0.0], [1.687, 0.0], [2.115, 0.0], [4.114, 0.0], [7.112, -0.131]]",ok,1.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37b3d16060b442d5b6175cbebefd09a7,scene-0003,42
0.6693,1.5328,1.7145,0.6282,1.0243,1.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.2426,2.2477,1.7144,0.2013,1.0611,1.3306,True,"[-0.0, -0.0653, -0.0653, -0.9791]","[-70.9499, -118.7623, -262.9304, -1904.6877]","[3.273, 3.0496, 2.8605, -1001902.7777]","[1.354, 1.308, 1.357, 1.681]","[[[1.5444, 0.0], [2.972, 0.0], [3.4003, 0.0653], [4.3997, -0.0653], [5.9701, 0.0], [7.3977, 0.0]], [[1.5444, 0.0], [2.972, 0.0], [3.4003, 0.0653], [4.3997, -0.0653], [6.2556, 0.1305], [7.3977, -0.1305]], [[1.5444, 0.0], [2.972, 0.0], [3.4003, 0.0653], [4.3997, -0.0653], [5.1135, 0.1305], [8.2543, 0.1305]], [[1.5444, 0.0], [2.972, 0.0], [3.4003, 0.0653], [4.3997, -0.0653], [4.5424, 0.2611], [10.253, -1.9582]]]",0.149,0.0,0.0,0.0,0.0,0.0,0.0,True,"[2, 2, 2]",0.0,0.0,0.0,1.3079,4.0,0.2426,2.2477,1.7168,0.2013,1.0611,1.3079,"[[1.544, 0.0], [2.972, 0.0], [3.4, 0.065], [4.4, -0.065], [6.113, 0.065], [7.398, -0.065]]",ok,1.6809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08254b97198045d98009af51d144d147,scene-0003,42
0.3278,1.3075,1.7098,0.2143,0.6082,0.9387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.2394,2.6185,9.6803,0.2281,0.9307,2.3776,False,"[0.8486, 0.0, 0.5875, -8.2899]","[-2790.8241, -10659.7379, -11208.0527, -38257.018]","[-1503320.4705, -1511189.3843, -1511737.6991, -1538786.6644]","[1.165, 3.889, 1.494, 4.76]","[[[3.2576, 0.0], [6.9694, 0.1305], [10.3958, 0.1958], [11.2524, 0.718], [17.3913, 0.7833], [21.3887, 1.6971]], [[3.2576, 0.0], [6.9694, 0.1305], [10.3958, 0.1958], [11.2524, 0.718], [18.5334, 2.3499], [39.3771, 0.0]], [[3.2576, 0.0], [6.9694, 0.1305], [10.3958, 0.1958], [11.2524, 0.718], [20.5321, 1.6971], [20.8176, 1.1749]], [[3.2576, 0.0], [6.9694, 0.1305], [10.3958, 0.1958], [11.2524, 0.718], [22.2453, 1.1749], [19.39, -16.5798]]]",1.5333,0.0,0.0,0.0,0.0,0.0,0.0,False,"[2, 2, 2]",0.0,0.0,0.0,1.1654,4.0,0.2394,2.6185,1.7098,0.2281,0.9307,1.1654,"[[3.258, 0.0], [6.969, 0.131], [10.396, 0.196], [11.252, 0.718], [17.962, 1.567], [30.383, 0.849]]",ok,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88a090c54cc844cc878f00d08274a683,scene-0012,42
0.3311,0.5222,1.8555,0.326,0.434,0.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.716,0.5567,2.6889,0.6612,0.6042,0.9541,False,"[-0.1305, -0.0653, -0.5875, -0.1958]","[-320.3351, -1255.2975, -4089.0198, -31871.0119]","[3.7055, -1001252.8484, -1004086.5707, -1031868.5628]","[1.014, 1.112, 1.445, 2.444]","[[[5.1135, 0.0], [9.8247, 0.0], [14.2505, -0.0653], [18.5334, -0.3916], [24.8151, -0.2611], [29.6691, -0.2611]], [[5.1135, 0.0], [9.8247, 0.0], [14.2505, -0.0653], [18.5334, -0.3916], [22.5308, 0.6527], [31.3822, -0.1305]], [[5.1135, 0.0], [9.8247, 0.0], [14.2505, -0.0653], [18.5334, -0.3916], [25.6716, -0.3916], [24.5295, -1.1749]], [[5.1135, 0.0], [9.8247, 0.0], [14.2505, -0.0653], [18.5334, -0.3916], [33.6665, -0.5222], [29.3835, -0.3916]]]",0.5662,0.0,0.0,0.0,0.0,0.0,0.0,True,"[2, 2, 2]",0.0,0.0,0.0,1.0137,4.0,0.716,0.5567,1.8555,0.6612,0.6042,1.0137,"[[5.113, 0.0], [9.825, 0.0], [14.25, -0.065], [18.533, -0.392], [23.673, 0.196], [30.526, -0.196]]",ok,2.4445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f33e0c3f5d5c426593af8af1c27b68b8,scene-0012,42
1.7592,4.8823,7.162,1.3042,2.8724,4.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,right,1.6289,3.8761,5.9513,0.9978,2.3625,3.4519,True,"[1.2402, 0.7833, 8.2899, -0.0]","[-415.0184, -502.0355, -11942.1768, -106014.643]","[1.673, 1.5337, -1011940.7631, -1106013.2294]","[3.708, 3.227, 4.316, 6.156]","[[[4.828, 0.1305], [8.6826, -0.5875], [12.9656, -0.4569], [17.8196, -1.1749], [20.8176, -1.6971], [24.8151, -2.4804]], [[4.828, 0.1305], [8.6826, -0.5875], [12.9656, -0.4569], [17.8196, -1.1749], [22.2453, -0.3916], [26.8138, -1.5666]], [[4.828, 0.1305], [8.6826, -0.5875], [12.9656, -0.4569], [17.8196, -1.1749], [26.5282, -3.6554], [25.1006, -16.5798]], [[4.828, 0.1305], [8.6826, -0.5875], [12.9656, -0.4569], [17.8196, -1.1749], [18.5334, 16.5798], [25.3861, 0.0]]]",1.1109,0.0,0.0,0.0,0.0,0.0,0.0,True,"[2, 2, 2]",0.0,0.0,0.0,3.2271,4.0,1.6289,3.8761,5.0939,0.9978,2.3625,3.2271,"[[4.828, 0.131], [8.683, -0.587], [12.966, -0.457], [17.82, -1.175], [21.531, -1.044], [25.814, -2.024]]",ok,6.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,045ecf94b83648229500b23058af3117,scene-0012,42
1.589,1.3397,2.2393,1.4364,1.4687,1.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,1.4155,2.5481,6.5055,1.3473,1.5192,2.2997,False,"[0.8486, 8.2899, 8.2899, 8.2899]","[-1216.8642, -8199.0424, -39241.4737, -55823.5832]","[-1502998.5887, -1509980.7668, -1541023.1981, -1557605.3077]","[1.661, 3.62, 5.921, 7.2]","[[[3.6858, 0.0653], [7.5405, 0.3264], [12.109, 0.3916], [13.9649, 0.718], [19.1045, 1.6971], [24.8151, 1.6971]], [[3.6858, 0.0653], [7.5405, 0.3264], [12.109, 0.3916], [13.9649, 0.718], [17.9623, 2.8721], [28.2414, 16.5798]], [[3.6858, 0.0653], [7.5405, 0.3264], [12.109, 0.3916], [13.9649, 0.718], [19.1045, 16.5798], [31.6678, 16.5798]], [[3.6858, 0.0653], [7.5405, 0.3264], [12.109, 0.3916], [13.9649, 0.718], [18.5334, 16.5798], [42.2324, 16.5798]]]",2.1272,0.0,0.0,0.0,0.0,0.0,0.0,False,"[2, 2, 2]",0.0,0.0,0.0,1.6611,4.0,1.4155,2.5481,2.7413,1.3473,1.5192,1.6611,"[[3.686, 0.065], [7.541, 0.326], [12.109, 0.392], [13.965, 0.718], [18.533, 2.285], [26.528, 9.138]]",ok,7.1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818d76fdbcf49029de0e316a26f8903,scene-0012,42
0.6657,2.1543,5.354,0.6004,1.3545,2.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.5251,2.4912,4.6149,0.4601,1.3452,2.2939,True,"[-0.0, -0.9138, -1.1097, -0.1958]","[-258.3899, -1144.0204, -3532.2915, -16261.4241]","[3.6202, -1001142.3701, -1003530.6412, -1016259.7738]","[2.236, 2.386, 2.293, 6.644]","[[[3.5431, 0.0653], [6.6839, 0.0], [10.9669, -0.2611], [14.2505, -0.2611], [18.2479, 0.0], [20.8176, 0.0]], [[3.5431, 0.0653], [6.6839, 0.0], [10.9669, -0.2611], [14.2505, -0.2611], [18.2479, 1.0444], [21.1032, -1.8277]], [[3.5431, 0.0653], [6.6839, 0.0], [10.9669, -0.2611], [14.2505, -0.2611], [20.2466, 0.7833], [18.8189, 2.2193]], [[3.5431, 0.0653], [6.6839, 0.0], [10.9669, -0.2611], [14.2505, -0.2611], [20.5321, 0.7833], [45.0877, 0.3916]]]",1.8796,0.0,0.0,0.0,0.0,0.0,0.0,True,"[2, 2, 2]",0.0,0.0,0.0,2.2365,4.0,0.5251,2.4912,4.2266,0.4601,1.3452,2.2365,"[[3.543, 0.065], [6.684, 0.0], [10.967, -0.261], [14.25, -0.261], [18.248, 0.522], [20.96, -0.914]]",ok,6.6443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b9c60cfaf1814c8bb363037dec7abd35,scene-0013,42
0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.4938,0.5804,2.2537,0.8658,0.6856,1.0506,False,"[-0.0, -0.0653, -0.4569, -0.0653]","[-868.4751, -469.1866, -1575.5709, -8029.3693]","[3.8765, 3.6454, -1001573.1117, -1008026.9101]","[1.449, 0.699, 1.023, 1.647]","[[[3.5431, 0.0], [7.826, -0.0653], [10.253, 0.0], [13.8222, 0.0653], [15.3926, 1.3055], [16.5347, 0.0]], [[3.5431, 0.0], [7.826, -0.0653], [10.253, 0.0], [13.8222, 0.0653], [16.2492, 0.0], [19.9611, -0.1305]], [[3.5431, 0.0], [7.826, -0.0653], [10.253, 0.0], [13.8222, 0.0653], [19.1045, 0.6527], [19.39, 0.9138]], [[3.5431, 0.0], [7.826, -0.0653], [10.253, 0.0], [13.8222, 0.0653], [13.3939, 0.1305], [23.9585, -0.1305]]]",0.369,0.0,0.0,0.0,0.0,0.0,0.0,True,"[2, 2, 2]",0.0,0.0,0.0,0.6987,4.0,1.4938,0.5804,0.6538,0.8658,0.6856,0.6987,"[[3.543, 0.0], [7.826, -0.065], [10.253, 0.0], [13.822, 0.065], [15.821, 0.653], [18.248, -0.065]]",ok,1.6474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615d82e7e8546fea5f181157f42e30b,scene-0013,42
