base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_selection_gap_L2@1s,got_selection_gap_L2@2s,got_selection_gap_L2@3s,got_selection_gap_avgL2@1s,got_selection_gap_avgL2@2s,got_selection_gap_avgL2@3s,got_selection_rank,got_selection_top1,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.0063,0.0092,0.1641,0.0054,0.007,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,False,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -8.2899, -0.0]","[-0.013, -91.3235, -54.0626, -64.2372, -1416.9943, -8548.3268, -17779.1604, -1617885.0117]","[4.0773, 4.0771, 4.0769, 4.0769, -1001413.6804, -1008545.0132, -1017775.8468, -2617881.6978]","[0.035, 0.404, 0.174, 0.305, 0.499, 1.074, 4.155, 12.015]",3.8697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,8.0,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,"[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,12.0154,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,fd8420396768425eabec9bdddf7e64b6,scene-0003,44
0.1224,0.145,1.5888,0.2151,0.1712,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.1224,0.145,1.0178,0.2151,0.1712,0.3257,True,"[-0.0, -0.0, -0.1958, -0.0, -0.0653, -0.0653, -0.1305, -0.0]","[-21.6175, -172.1989, -59.4905, -1735.1939, -5270.8675, -6046.9052, -6492.9803, -130385.7445]","[3.8019, 3.7983, 0.9527, -1001732.7201, -1005268.3938, -1006044.4314, -1006490.5066, -1130383.2171]","[0.326, 1.04, 0.617, 0.658, 1.046, 1.947, 1.1, 3.895]",1.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3257,8.0,0.1224,0.145,1.0178,0.2151,0.1712,0.3257,"[[1.116, 0.0], [1.687, 0.0], [2.258, 0.0], [2.544, 0.0], [3.4, 0.0], [4.542, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,3.8948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6b9af38cbf654171870cb14b4ae89fd6,scene-0003,44
0.0852,0.5533,2.8013,0.2338,0.2781,0.6874,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,ok,straight,0.0852,0.5533,0.1124,0.2338,0.2781,0.4271,True,"[-0.0, -0.0, -0.0, -0.0653, -0.0653, -0.0653, -0.0, -0.0]","[-133.8112, -300.4362, -307.2717, -32.771, -1976.4999, -2173.0948, -34929.6425, -45858.0645]","[3.2644, 3.2605, 3.2544, 1.2046, -1001974.6135, -1002171.2085, -1034927.7561, -1045856.1839]","[0.427, 0.579, 0.611, 1.226, 1.861, 0.613, 2.177, 5.415]",1.5597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4271,8.0,0.0852,0.5533,0.1124,0.2338,0.2781,0.4271,"[[0.259, 0.0], [1.116, 0.0], [1.687, 0.0], [2.544, 0.0], [3.686, 0.0], [2.829, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,5.4147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37b3d16060b442d5b6175cbebefd09a7,scene-0003,44
0.6693,1.5328,1.7145,0.6282,1.0243,1.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.9545,1.5328,1.7145,0.7708,1.0957,1.3772,True,"[-0.0, -0.0, -0.0, -0.0653, -0.1958, -0.5875, -0.1305, -0.0653]","[-30.8208, -46.4526, -335.7412, -559.3906, -647.2805, -1403.5651, -4671.0376, -73797.5284]","[3.3797, 3.3779, 3.3659, 3.0042, -1000645.0307, -1001401.3142, -1004668.7878, -1073795.2775]","[1.377, 1.33, 1.902, 0.895, 1.206, 1.537, 2.092, 3.178]",0.6651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8952,8.0,0.9545,1.5328,0.5955,0.7708,1.0957,0.8952,"[[1.116, 0.0], [2.258, 0.0], [3.686, 0.0], [5.113, 0.0], [5.97, 0.0], [7.398, 0.0]]",0.0,0.0,1.1191,0.0,0.0,0.482,3.0,0.0,ok,3.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08254b97198045d98009af51d144d147,scene-0003,44
0.3278,1.3075,1.7098,0.2143,0.6082,0.9387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.3278,0.7833,1.7098,0.2143,0.6347,0.9681,False,"[0.8486, 0.8486, 1.3708, -1.3708, 0.718, 3.3943, 1.3055, 0.7833]","[-1342.965, -259.7881, -1207.0023, -1434.1297, -1656.3945, -5865.2876, -9328.6547, -13976.2512]","[2.9831, 0.7598, -1001207.0197, -1001431.6896, -1001653.9544, -1005865.3049, -1009326.2146, -1013976.2686]","[0.968, 0.919, 2.425, 1.688, 1.685, 2.401, 1.493, 2.575]",0.6055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9186,8.0,0.3278,1.1167,1.7098,0.2143,0.5605,0.9186,"[[3.4, 0.0], [6.827, 0.131], [8.825, 0.131], [13.108, 1.828], [17.391, 0.783], [21.389, 1.697]]",0.0,-0.3333,0.0,0.0,0.0742,0.0495,1.0,0.0,ok,2.5746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88a090c54cc844cc878f00d08274a683,scene-0012,44
0.3311,0.5222,1.8555,0.326,0.434,0.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.3311,0.5222,1.8555,0.326,0.434,0.9002,False,"[-0.1305, -0.0653, -0.1305, -0.6527, -1.5013, -0.718, -8.2899, -0.0653]","[-178.253, -927.9473, -446.2245, -291.7557, -553.9265, -14573.2037, -19043.4506, -63383.3189]","[2.4345, 2.3934, 2.3921, 2.2303, 1.8654, -1014571.8666, -1019042.1429, -1063381.9818]","[0.9, 2.496, 1.318, 2.017, 2.002, 1.737, 4.031, 7.88]",2.1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9002,8.0,0.3311,0.5222,1.8555,0.326,0.434,0.9002,"[[4.828, 0.0], [9.396, -0.131], [14.25, -0.131], [18.819, -0.131], [24.815, -0.261], [29.669, -0.261]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,7.8799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f33e0c3f5d5c426593af8af1c27b68b8,scene-0012,44
1.7592,4.8823,7.162,1.3042,2.8724,4.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,right,1.1958,4.8823,6.8777,1.5949,3.0177,4.1447,False,"[1.2402, 1.2402, 1.1749, 0.8486, 1.5666, -8.2899, 0.3916, 0.9791]","[-928.4014, -15.6665, -6602.4, -32886.8316, -39938.6244, -53927.7748, -109187.0831, -786889.8444]","[1.7872, 1.6246, -1006601.5551, -1032886.1529, -1039937.7795, -1053927.0962, -1109186.4044, -1786888.9995]","[4.145, 4.048, 3.932, 3.29, 4.508, 8.581, 6.884, 10.05]",2.3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,8.0,1.7592,4.8823,1.8281,1.3042,2.8724,3.29,"[[3.115, 0.0], [9.111, -0.522], [12.537, -0.522], [16.82, -1.044], [20.818, -1.697], [24.815, -2.48]]",-0.5635,0.0,5.0496,0.2907,0.1453,0.8547,3.0,0.0,ok,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,045ecf94b83648229500b23058af3117,scene-0012,44
1.589,1.3397,2.2393,1.4364,1.4687,1.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,1.589,1.3397,2.7413,1.4364,1.4687,1.6274,False,"[0.8486, 0.718, 0.8486, 0.5875, 8.2899, -6.0706, 0.7833, 0.4569]","[-221.6774, -1468.5633, -2876.2065, -4587.2366, -5640.6063, -45243.1274, -104846.4562, -368112.1631]","[1.6032, -1001467.53, -1002875.2853, -1004586.2033, -1005639.5729, -1045242.2062, -1104845.535, -1368111.2418]","[1.627, 1.845, 1.449, 1.808, 3.245, 4.543, 5.368, 11.368]",3.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4493,8.0,1.2617,2.2756,2.7413,0.7279,1.2016,1.4493,"[[3.686, 0.0], [7.398, 0.131], [11.11, 0.392], [15.393, 0.783], [19.104, 1.697], [24.815, 1.697]]",0.3273,-0.9359,0.0,0.7085,0.2672,0.1781,1.0,0.0,ok,11.3683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818d76fdbcf49029de0e316a26f8903,scene-0012,44
0.6657,2.1543,5.354,0.6004,1.3545,2.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6657,2.4356,4.2266,0.6004,1.2833,2.1952,True,"[-0.0, -0.0, -0.9138, -0.0653, -0.4569, -3.2637, -2.4152, -0.1305]","[-83.199, -87.576, -288.4803, -3848.1703, -8160.404, -35420.2179, -123947.3984, -137827.8889]","[4.7691, 3.8509, -1000286.1116, -1003844.8834, -1008158.0353, -1035417.8492, -1123944.1115, -1137824.602]","[2.195, 2.339, 3.445, 1.504, 3.489, 5.299, 4.618, 5.054]",1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5041,8.0,0.6657,2.4356,1.3263,0.6004,1.2833,1.5041,"[[3.686, 0.0], [6.827, 0.0], [10.539, 0.0], [14.25, 0.0], [18.248, 0.0], [20.818, 0.0]]",0.0,0.0,2.9003,0.0,0.0,0.6911,1.0,0.0,ok,5.2995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b9c60cfaf1814c8bb363037dec7abd35,scene-0013,44
0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,1.635,0.4271,0.6538,1.4358,1.0036,0.9107,False,"[-0.0653, -0.0653, -0.2611, -0.1958, -5.6136, -0.0653, -0.3916, -0.0653]","[-62.0577, -291.4101, -298.5643, -3097.7884, -8684.0788, -17037.2546, -80586.1192, -948710.7757]","[3.6351, 3.633, 3.5246, -1003095.0094, -1008681.2998, -1017034.4769, -1080583.3402, -1948707.998]","[0.911, 0.483, 0.687, 2.414, 3.37, 3.573, 3.33, 9.359]",2.6787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4828,8.0,0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,"[[4.542, 0.0], [7.969, 0.0], [10.539, 0.0], [12.823, 0.0], [16.249, 0.0], [19.961, -0.131]]",1.4276,0.0,0.0,1.2839,0.6419,0.428,2.0,0.0,ok,9.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615d82e7e8546fea5f181157f42e30b,scene-0013,44
