command,delta_eps0.5_codebook_cosine_s0,delta_eps0.5_codebook_cosine_s1,delta_eps0.5_codebook_cosine_s2,delta_eps0.5_codebook_l2_s0,delta_eps0.5_codebook_l2_s1,delta_eps0.5_codebook_l2_s2,delta_eps0.5_pixel_mae_s0,delta_eps0.5_pixel_mae_s1,delta_eps0.5_pixel_mae_s2,delta_eps1_codebook_cosine_s0,delta_eps1_codebook_cosine_s1,delta_eps1_codebook_cosine_s2,delta_eps1_codebook_l2_s0,delta_eps1_codebook_l2_s1,delta_eps1_codebook_l2_s2,delta_eps1_pixel_mae_s0,delta_eps1_pixel_mae_s1,delta_eps1_pixel_mae_s2,delta_eps2_codebook_cosine_s0,delta_eps2_codebook_cosine_s1,delta_eps2_codebook_cosine_s2,delta_eps2_codebook_l2_s0,delta_eps2_codebook_l2_s1,delta_eps2_codebook_l2_s2,delta_eps2_pixel_mae_s0,delta_eps2_pixel_mae_s1,delta_eps2_pixel_mae_s2,delta_eps3_codebook_cosine_s0,delta_eps3_codebook_cosine_s1,delta_eps3_codebook_cosine_s2,delta_eps3_codebook_l2_s0,delta_eps3_codebook_l2_s1,delta_eps3_codebook_l2_s2,delta_eps3_pixel_mae_s0,delta_eps3_pixel_mae_s1,delta_eps3_pixel_mae_s2,eps0.5_codebook_cosine_s0,eps0.5_codebook_cosine_s1,eps0.5_codebook_cosine_s2,eps0.5_codebook_l2_s0,eps0.5_codebook_l2_s1,eps0.5_codebook_l2_s2,eps0.5_pixel_mae_s0,eps0.5_pixel_mae_s1,eps0.5_pixel_mae_s2,eps1_codebook_cosine_s0,eps1_codebook_cosine_s1,eps1_codebook_cosine_s2,eps1_codebook_l2_s0,eps1_codebook_l2_s1,eps1_codebook_l2_s2,eps1_pixel_mae_s0,eps1_pixel_mae_s1,eps1_pixel_mae_s2,eps2_codebook_cosine_s0,eps2_codebook_cosine_s1,eps2_codebook_cosine_s2,eps2_codebook_l2_s0,eps2_codebook_l2_s1,eps2_codebook_l2_s2,eps2_pixel_mae_s0,eps2_pixel_mae_s1,eps2_pixel_mae_s2,eps3_codebook_cosine_s0,eps3_codebook_cosine_s1,eps3_codebook_cosine_s2,eps3_codebook_l2_s0,eps3_codebook_l2_s1,eps3_codebook_l2_s2,eps3_pixel_mae_s0,eps3_pixel_mae_s1,eps3_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,plan_ok,sample_token,scene
straight,0.27738,0.29658,0.32684,4.44608,2.97257,4.50386,0.03633,-0.01206,0.05588,0.03213,0.21789,0.30063,1.00146,2.28805,3.99169,0.01147,-0.02746,0.04906,0.03017,0.22054,0.36355,0.70251,2.34169,4.8682,0.00989,-0.02901,0.02884,0.0011,0.19438,0.33994,0.52069,2.0327,4.52821,0.00998,-0.02687,0.03272,0.76099,0.86071,0.88847,16.76184,17.62722,18.38193,0.10344,0.11706,0.15135,0.51574,0.78202,0.86226,13.31722,16.94271,17.86976,0.07859,0.10166,0.14453,0.51379,0.78467,0.92518,13.01827,16.99635,18.74627,0.077,0.10011,0.12431,0.48471,0.75851,0.90157,12.83644,16.68735,18.40629,0.07709,0.10225,0.12819,0.48361,0.56413,0.56163,12.31576,14.65466,13.87807,0.06711,0.12912,0.09547,False,921505c43d8140678c34d83bba358a6f,scene-0016
straight,0.29299,0.0952,0.01581,4.03231,1.69882,-0.4227,0.03647,0.02514,0.02452,0.12188,0.04833,-0.00795,1.48179,1.24185,-0.51413,0.01118,0.01457,0.01783,0.01755,0.06159,0.05141,-0.28467,1.52559,-0.22116,0.0032,0.0174,0.00806,0.04209,0.14895,-0.00369,-0.03419,2.46747,-0.80072,0.00511,0.01865,0.00955,0.75112,0.91912,0.82987,16.29433,18.34501,17.83299,0.10313,0.12709,0.15492,0.58001,0.87225,0.80611,13.74381,17.88804,17.74155,0.07784,0.11652,0.14823,0.47568,0.88551,0.86548,11.97735,18.17179,18.03452,0.06986,0.11935,0.13846,0.50022,0.97287,0.81037,12.22783,19.11367,17.45497,0.07177,0.1206,0.13994,0.45813,0.82392,0.81406,12.26202,16.64619,18.25569,0.06666,0.10195,0.1304,False,b7054aad1b4d4bc59ecde0d0d0acd369,scene-0016
straight,0.29658,0.32684,0.49673,2.97257,4.50386,6.84728,-0.01206,0.05588,0.06764,0.21789,0.30063,0.38986,2.28805,3.99169,6.74574,-0.02746,0.04906,0.12435,0.22054,0.36355,0.03542,2.34169,4.8682,0.58184,-0.02901,0.02884,0.00795,0.19438,0.33994,0.12593,2.0327,4.52821,1.63184,-0.02687,0.03272,0.01117,0.86071,0.88847,0.93494,17.62722,18.38193,18.98004,0.11706,0.15135,0.14962,0.78202,0.86226,0.82807,16.94271,17.86976,18.87851,0.10166,0.14453,0.20632,0.78467,0.92518,0.47363,16.99635,18.74627,12.71461,0.10011,0.12431,0.08993,0.75851,0.90157,0.56414,16.68735,18.40629,13.76461,0.10225,0.12819,0.09314,0.56413,0.56163,0.43821,14.65466,13.87807,12.13276,0.12912,0.09547,0.08197,False,9af33b52e11c458096ce6bee5548c1ea,scene-0016
straight,0.0952,0.01581,0.35337,1.69882,-0.4227,5.20008,0.02514,0.02452,0.0473,0.04833,-0.00795,0.25883,1.24185,-0.51413,3.9786,0.01457,0.01783,0.02973,0.06159,0.05141,-0.04937,1.52559,-0.22116,-0.86637,0.0174,0.00806,-0.01116,0.14895,-0.00369,-0.05828,2.46747,-0.80072,-1.05281,0.01865,0.00955,-0.01096,0.91912,0.82987,0.85117,18.34501,17.83299,18.31987,0.12709,0.15492,0.14145,0.87225,0.80611,0.75662,17.88804,17.74155,17.09839,0.11652,0.14823,0.12388,0.88551,0.86548,0.44843,18.17179,18.03452,12.25342,0.11935,0.13846,0.08299,0.97287,0.81037,0.43952,19.11367,17.45497,12.06698,0.1206,0.13994,0.08319,0.82392,0.81406,0.4978,16.64619,18.25569,13.11978,0.10195,0.1304,0.09415,False,40af6a4135e64e6496a3bde206fd5ed3,scene-0016
straight,-0.02944,0.03586,0.16343,-0.43901,0.71926,2.65263,-0.00061,-0.01238,0.02228,-0.05602,-0.09062,-0.00245,-0.77404,-1.48364,0.08179,-0.00107,-0.02289,-0.00046,-0.06801,0.03172,0.01578,-0.91813,0.67709,0.12443,-0.00234,0.01028,0.00241,-0.03436,-0.01298,-0.00054,-0.63252,-0.20434,0.01273,-0.00112,-0.01718,-0.00047,0.57271,0.60718,0.70263,14.85935,15.4623,16.48307,0.07936,0.09228,0.10544,0.54614,0.48071,0.53674,14.52433,13.2594,13.91222,0.0789,0.08177,0.08271,0.53415,0.60304,0.55498,14.38023,15.42013,13.95486,0.07763,0.11494,0.08558,0.56779,0.55835,0.53866,14.66585,14.5387,13.84316,0.07885,0.08748,0.0827,0.60215,0.57133,0.5392,15.29837,14.74304,13.83043,0.07997,0.10466,0.08317,False,134c7f63827c4b858a2a4ce0582d8f6e,scene-0017
straight,0.18083,0.35203,-0.03117,2.68951,4.72837,-0.55036,-0.00965,0.02199,-0.01055,-0.01778,0.32817,-0.00304,0.12437,4.98966,-0.08916,0.02989,0.04017,-0.00485,0.04102,-0.00937,-0.00755,0.6667,-0.12788,-0.02682,-0.00133,0.00027,-0.01242,-0.00411,0.00198,0.02612,0.14113,-0.13766,0.52174,-0.00021,-0.00138,-0.00179,0.62624,0.80427,0.63398,15.40368,17.32666,15.12573,0.08655,0.10985,0.08835,0.42764,0.78041,0.66211,12.83854,17.58795,15.58693,0.12608,0.12803,0.09405,0.48643,0.44286,0.6576,13.38087,12.47041,15.64928,0.09486,0.08812,0.08648,0.4413,0.45422,0.69128,12.8553,12.46062,16.19783,0.09598,0.08648,0.09711,0.44542,0.45224,0.66515,12.71417,12.59829,15.67609,0.09619,0.08786,0.0989,False,ead426cf94b849149ff45a314c4efe2b,scene-0017
straight,0.01649,0.16343,0.03371,0.60925,2.65263,-0.07211,-0.00278,0.02228,-0.00247,-0.09146,-0.00245,-0.10945,-1.23974,0.08179,-1.72838,-0.01642,-0.00046,-0.00797,0.03172,0.01578,-0.08746,0.67709,0.12443,-1.26148,0.01028,0.00241,-0.01349,0.01079,-0.00054,-0.01504,0.33517,0.01273,-0.31326,0.00242,-0.00047,-0.00559,0.58782,0.70263,0.68449,15.35229,16.48307,15.83709,0.10188,0.10544,0.08537,0.47987,0.53674,0.54132,13.5033,13.91222,14.18082,0.08823,0.08271,0.07987,0.60304,0.55498,0.56332,15.42013,13.95486,14.64772,0.11494,0.08558,0.07436,0.58211,0.53866,0.63573,15.07821,13.84316,15.59594,0.10708,0.0827,0.08226,0.57133,0.5392,0.65078,14.74304,13.83043,15.9092,0.10466,0.08317,0.08785,False,d2776ad57f7e47caa2001aea3f60b204,scene-0017
straight,0.30052,-0.03117,0.00577,4.11039,-0.55036,-0.01883,0.02267,-0.01055,0.00052,0.25526,-0.00304,-0.07714,3.64656,-0.08916,-1.40713,0.01627,-0.00485,-0.01258,-0.00937,-0.00755,0.01329,-0.12788,-0.02682,0.02369,0.00027,-0.01242,-0.00284,0.00198,0.02612,0.0401,-0.13766,0.52174,0.39639,-0.00138,-0.00179,-0.00212,0.75276,0.63398,0.66636,16.70868,15.12573,16.22345,0.11053,0.08835,0.09774,0.7075,0.66211,0.58345,16.24485,15.58693,14.83514,0.10413,0.09405,0.08464,0.44286,0.6576,0.67389,12.47041,15.64928,16.26597,0.08812,0.08648,0.09437,0.45422,0.69128,0.7007,12.46062,16.19783,16.63867,0.08648,0.09711,0.0951,0.45224,0.66515,0.6606,12.59829,15.67609,16.24228,0.08786,0.0989,0.09722,False,42c7b34a5f9e440baf4d8ce1cf75922c,scene-0017
straight,0.16343,0.03371,-0.07541,2.65263,-0.07211,-1.01294,0.02228,-0.00247,0.00518,-0.00245,-0.10945,-0.18715,0.08179,-1.72838,-2.83874,-0.00046,-0.00797,-0.03829,0.03544,-0.08746,-0.05445,0.87731,-1.26148,-0.82595,0.03069,-0.01349,-0.00765,-0.00054,-0.01504,-0.10305,0.01273,-0.31326,-1.4713,-0.00047,-0.00559,-0.01251,0.70263,0.68449,0.74412,16.48307,15.83709,18.929,0.10544,0.08537,0.16088,0.53674,0.54132,0.63238,13.91222,14.18082,17.10319,0.08271,0.07987,0.11741,0.57464,0.56332,0.76509,14.70774,14.64772,19.11598,0.11386,0.07436,0.14805,0.53866,0.63573,0.71649,13.84316,15.59594,18.47063,0.0827,0.08226,0.1432,0.5392,0.65078,0.81954,13.83043,15.9092,19.94193,0.08317,0.08785,0.1557,False,4b4c3bc538e64867a9712470e04d61cf,scene-0017
straight,-0.10312,0.00577,-0.02866,-1.53146,-0.01883,-1.13987,-0.00777,0.00052,-0.03379,-0.07499,-0.07714,-0.06376,-1.07026,-1.40713,-1.05467,-0.00207,-0.01258,-0.01294,-0.07949,0.01329,0.03281,-1.00791,0.02369,-0.24012,-0.00964,-0.00284,-0.03747,-0.06659,0.0401,-0.01818,-0.56737,0.39639,-0.73617,-0.0105,-0.00212,-0.03079,0.63398,0.66636,0.59821,15.12573,16.22345,16.09043,0.08835,0.09774,0.07634,0.66211,0.58345,0.56311,15.58693,14.83514,16.17562,0.09405,0.08464,0.09719,0.6576,0.67389,0.65968,15.64928,16.26597,16.99017,0.08648,0.09437,0.07266,0.6705,0.7007,0.60869,16.08982,16.63867,16.49412,0.08562,0.0951,0.07934,0.73709,0.6606,0.62687,16.65719,16.24228,17.23029,0.09612,0.09722,0.11013,False,0966ed2dfcd744ef831f394b7933f747,scene-0017
