command,copy_codebook_cosine_s0,copy_codebook_cosine_s1,copy_codebook_cosine_s2,copy_codebook_l2_s0,copy_codebook_l2_s1,copy_codebook_l2_s2,copy_pixel_mae_s0,copy_pixel_mae_s1,copy_pixel_mae_s2,delta_copy_codebook_cosine_s0,delta_copy_codebook_cosine_s1,delta_copy_codebook_cosine_s2,delta_copy_codebook_l2_s0,delta_copy_codebook_l2_s1,delta_copy_codebook_l2_s2,delta_copy_pixel_mae_s0,delta_copy_pixel_mae_s1,delta_copy_pixel_mae_s2,delta_mirror_codebook_cosine_s0,delta_mirror_codebook_cosine_s1,delta_mirror_codebook_cosine_s2,delta_mirror_codebook_l2_s0,delta_mirror_codebook_l2_s1,delta_mirror_codebook_l2_s2,delta_mirror_pixel_mae_s0,delta_mirror_pixel_mae_s1,delta_mirror_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,mirror_codebook_cosine_s0,mirror_codebook_cosine_s1,mirror_codebook_cosine_s2,mirror_codebook_l2_s0,mirror_codebook_l2_s1,mirror_codebook_l2_s2,mirror_pixel_mae_s0,mirror_pixel_mae_s1,mirror_pixel_mae_s2,plan_ok,sample_token,scene
straight,0.45541,0.81817,0.86257,12.08916,17.35119,17.90339,0.07675,0.09524,0.12011,-0.0282,0.25404,0.30094,-0.2266,2.69654,4.02532,0.00964,-0.03388,0.02464,-0.01586,0.1996,0.30349,0.18572,2.06004,4.2199,0.01246,-0.02692,0.04652,0.48361,0.56413,0.56163,12.31576,14.65466,13.87807,0.06711,0.12912,0.09547,0.46775,0.76373,0.86512,12.50148,16.71469,18.09797,0.07958,0.1022,0.14199,False,921505c43d8140678c34d83bba358a6f,scene-0016
straight,0.58584,0.86823,0.90098,14.10419,17.54206,18.54579,0.07712,0.10432,0.13393,0.12771,0.04431,0.08692,1.84218,0.89587,0.29011,0.01045,0.00237,0.00354,0.17599,0.05401,0.02568,2.44421,1.3048,-0.05449,0.01431,0.01924,0.02265,0.45813,0.82392,0.81406,12.26202,16.64619,18.25569,0.06666,0.10195,0.1304,0.63412,0.87793,0.83975,14.70623,17.951,18.2012,0.08097,0.12119,0.15305,False,b7054aad1b4d4bc59ecde0d0d0acd369,scene-0016
straight,0.81817,0.86257,0.70147,17.35119,17.90339,15.61504,0.09524,0.12011,0.10934,0.25404,0.30094,0.26325,2.69654,4.02532,3.48227,-0.03388,0.02464,0.02737,0.1996,0.30349,0.25583,2.06004,4.2199,4.11574,-0.02692,0.04652,0.02799,0.56413,0.56163,0.43821,14.65466,13.87807,12.13276,0.12912,0.09547,0.08197,0.76373,0.86512,0.69404,16.71469,18.09797,16.2485,0.1022,0.14199,0.10996,False,9af33b52e11c458096ce6bee5548c1ea,scene-0016
straight,0.86823,0.90098,0.57394,17.54206,18.54579,14.24792,0.10432,0.13393,0.09721,0.04431,0.08692,0.07615,0.89587,0.29011,1.12813,0.00237,0.00354,0.00306,0.05401,0.02568,0.0,1.3048,-0.05449,0.0,0.01924,0.02265,0.0,0.82392,0.81406,0.4978,16.64619,18.25569,13.11978,0.10195,0.1304,0.09415,0.87793,0.83975,0.4978,17.951,18.2012,13.11978,0.12119,0.15305,0.09415,False,40af6a4135e64e6496a3bde206fd5ed3,scene-0016
straight,0.62843,0.70857,0.7747,16.22165,16.5602,17.09962,0.11808,0.12778,0.12744,0.02628,0.13724,0.2355,0.92328,1.81716,3.26918,0.03811,0.02313,0.04428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60215,0.57133,0.5392,15.29837,14.74304,13.83043,0.07997,0.10466,0.08317,0.60215,0.57133,0.5392,15.29837,14.74304,13.83043,0.07997,0.10466,0.08317,False,134c7f63827c4b858a2a4ce0582d8f6e,scene-0017
straight,0.60727,0.67261,0.79951,15.27434,16.29258,17.52546,0.11366,0.13388,0.11709,0.16185,0.22037,0.13436,2.56017,3.69429,1.84937,0.01746,0.04602,0.01819,0.04166,0.0,0.07027,0.28973,0.0,1.1939,-0.01622,0.0,-0.00058,0.44542,0.45224,0.66515,12.71417,12.59829,15.67609,0.09619,0.08786,0.0989,0.48708,0.45224,0.73542,13.00389,12.59829,16.86999,0.07997,0.08786,0.09831,False,ead426cf94b849149ff45a314c4efe2b,scene-0017
straight,0.70857,0.7747,0.82819,16.5602,17.09962,18.398,0.12778,0.12744,0.13841,0.13724,0.2355,0.17742,1.81716,3.26918,2.4888,0.02313,0.04428,0.05057,0.0,0.0,-0.03857,0.0,0.0,-1.19245,0.0,0.0,-0.01545,0.57133,0.5392,0.65078,14.74304,13.83043,15.9092,0.10466,0.08317,0.08785,0.57133,0.5392,0.6122,14.74304,13.83043,14.71675,0.10466,0.08317,0.07239,False,d2776ad57f7e47caa2001aea3f60b204,scene-0017
straight,0.67261,0.79951,0.79516,16.29258,17.52546,18.70861,0.13388,0.11709,0.15265,0.22037,0.13436,0.13456,3.69429,1.84937,2.46633,0.04602,0.01819,0.05544,0.0,0.07027,0.0,0.0,1.1939,0.0,0.0,-0.00058,0.0,0.45224,0.66515,0.6606,12.59829,15.67609,16.24228,0.08786,0.0989,0.09722,0.45224,0.73542,0.6606,12.59829,16.86999,16.24228,0.08786,0.09831,0.09722,False,42c7b34a5f9e440baf4d8ce1cf75922c,scene-0017
straight,0.7747,0.82819,0.80494,17.09962,18.398,19.08964,0.12744,0.13841,0.19692,0.2355,0.17742,-0.0146,3.26918,2.4888,-0.85229,0.04428,0.05057,0.04121,0.0,-0.03857,0.0,0.0,-1.19245,0.0,0.0,-0.01545,0.0,0.5392,0.65078,0.81954,13.83043,15.9092,19.94193,0.08317,0.08785,0.1557,0.5392,0.6122,0.81954,13.83043,14.71675,19.94193,0.08317,0.07239,0.1557,False,4b4c3bc538e64867a9712470e04d61cf,scene-0017
straight,0.79951,0.79516,0.79136,17.52546,18.70861,19.26954,0.11709,0.15265,0.18632,0.06242,0.13456,0.1645,0.86827,2.46633,2.03925,0.02097,0.05544,0.07619,0.0,0.0,-0.04748,0.0,0.0,1.20619,0.0,0.0,0.07781,0.73709,0.6606,0.62687,16.65719,16.24228,17.23029,0.09612,0.09722,0.11013,0.73709,0.6606,0.57939,16.65719,16.24228,18.43648,0.09612,0.09722,0.18794,False,0966ed2dfcd744ef831f394b7933f747,scene-0017
