command,copy_codebook_cosine_s0,copy_codebook_cosine_s1,copy_codebook_cosine_s2,copy_codebook_l2_s0,copy_codebook_l2_s1,copy_codebook_l2_s2,copy_pixel_mae_s0,copy_pixel_mae_s1,copy_pixel_mae_s2,delta_copy_codebook_cosine_s0,delta_copy_codebook_cosine_s1,delta_copy_codebook_cosine_s2,delta_copy_codebook_l2_s0,delta_copy_codebook_l2_s1,delta_copy_codebook_l2_s2,delta_copy_pixel_mae_s0,delta_copy_pixel_mae_s1,delta_copy_pixel_mae_s2,delta_plan_codebook_cosine_s0,delta_plan_codebook_cosine_s1,delta_plan_codebook_cosine_s2,delta_plan_codebook_l2_s0,delta_plan_codebook_l2_s1,delta_plan_codebook_l2_s2,delta_plan_pixel_mae_s0,delta_plan_pixel_mae_s1,delta_plan_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,plan_avgL2,plan_codebook_cosine_s0,plan_codebook_cosine_s1,plan_codebook_cosine_s2,plan_codebook_l2_s0,plan_codebook_l2_s1,plan_codebook_l2_s2,plan_ok,plan_pixel_mae_s0,plan_pixel_mae_s1,plan_pixel_mae_s2,plan_seg_err_s0,plan_seg_err_s1,plan_seg_err_s2,sample_token,scene
straight,0.45541,0.81817,0.86257,12.08916,17.35119,17.90339,0.07675,0.09524,0.12011,-0.0282,0.25404,0.30094,-0.2266,2.69654,4.02532,0.00964,-0.03388,0.02464,-0.01255,0.10432,0.33329,0.49294,0.24958,4.37554,0.01459,-0.03867,0.0321,0.48361,0.56413,0.56163,12.31576,14.65466,13.87807,0.06711,0.12912,0.09547,1.64996,0.47106,0.66845,0.89492,12.8087,14.90424,18.25361,True,0.0817,0.09045,0.12758,0.77886,1.96141,2.42449,921505c43d8140678c34d83bba358a6f,scene-0016
straight,0.58584,0.86823,0.90098,14.10419,17.54206,18.54579,0.07712,0.10432,0.13393,0.12771,0.04431,0.08692,1.84218,0.89587,0.29011,0.01045,0.00237,0.00354,0.12089,-0.07813,0.01645,1.56296,-0.87465,-0.41845,0.00981,-0.00332,0.00542,0.45813,0.82392,0.81406,12.26202,16.64619,18.25569,0.06666,0.10195,0.1304,1.89835,0.57902,0.74578,0.83051,13.82498,15.77155,17.83724,True,0.07647,0.09863,0.13582,1.08996,2.56013,3.15282,b7054aad1b4d4bc59ecde0d0d0acd369,scene-0016
straight,0.81817,0.86257,0.70147,17.35119,17.90339,15.61504,0.09524,0.12011,0.10934,0.25404,0.30094,0.26325,2.69654,4.02532,3.48227,-0.03388,0.02464,0.02737,0.10868,0.34313,0.24076,0.55327,4.60958,4.01808,-0.03295,0.03142,0.02837,0.56413,0.56163,0.43821,14.65466,13.87807,12.13276,0.12912,0.09547,0.08197,2.82035,0.67281,0.90475,0.67897,15.20793,18.48765,16.15084,True,0.09617,0.12689,0.11034,1.71156,2.95605,4.86422,9af33b52e11c458096ce6bee5548c1ea,scene-0016
straight,0.86823,0.90098,0.57394,17.54206,18.54579,14.24792,0.10432,0.13393,0.09721,0.04431,0.08692,0.07615,0.89587,0.29011,1.12813,0.00237,0.00354,0.00306,0.0291,-0.00108,0.07182,1.23372,-0.62828,1.50886,0.00993,0.02385,0.02813,0.82392,0.81406,0.4978,16.64619,18.25569,13.11978,0.10195,0.1304,0.09415,2.11337,0.85302,0.81298,0.56961,17.87991,17.62741,14.62865,True,0.11188,0.15425,0.12228,0.35015,2.63887,4.34688,40af6a4135e64e6496a3bde206fd5ed3,scene-0016
straight,0.62843,0.70857,0.7747,16.22165,16.5602,17.09962,0.11808,0.12778,0.12744,0.02628,0.13724,0.2355,0.92328,1.81716,3.26918,0.03811,0.02313,0.04428,-0.09762,0.09098,0.01083,-1.05719,1.58851,0.15616,-0.00253,0.009,0.00358,0.60215,0.57133,0.5392,15.29837,14.74304,13.83043,0.07997,0.10466,0.08317,3.93336,0.50453,0.66231,0.55003,14.24118,16.33155,13.98659,True,0.07744,0.11366,0.08675,3.4083,4.67487,4.11065,134c7f63827c4b858a2a4ce0582d8f6e,scene-0017
straight,0.60727,0.67261,0.79951,15.27434,16.29258,17.52546,0.11366,0.13388,0.11709,0.16185,0.22037,0.13436,2.56017,3.69429,1.84937,0.01746,0.04602,0.01819,-0.01918,0.10871,0.21231,-0.23689,2.87824,3.28185,-0.00449,0.13725,0.01818,0.44542,0.45224,0.66515,12.71417,12.59829,15.67609,0.09619,0.08786,0.0989,2.23907,0.42624,0.56095,0.87746,12.47727,15.47653,18.95794,True,0.0917,0.2251,0.11708,2.62212,1.30129,3.63438,ead426cf94b849149ff45a314c4efe2b,scene-0017
straight,0.70857,0.7747,0.82819,16.5602,17.09962,18.398,0.12778,0.12744,0.13841,0.13724,0.2355,0.17742,1.81716,3.26918,2.4888,0.02313,0.04428,0.05057,-0.04329,0.02232,0.01,-0.27122,0.16956,-0.03128,0.01012,0.00742,-0.00096,0.57133,0.5392,0.65078,14.74304,13.83043,15.9092,0.10466,0.08317,0.08785,0.95849,0.52804,0.56151,0.66078,14.47182,13.99999,15.87792,True,0.11478,0.09059,0.08689,0.72336,0.13922,2.8034,d2776ad57f7e47caa2001aea3f60b204,scene-0017
straight,0.67261,0.79951,0.79516,16.29258,17.52546,18.70861,0.13388,0.11709,0.15265,0.22037,0.13436,0.13456,3.69429,1.84937,2.46633,0.04602,0.01819,0.05544,0.06042,0.01004,0.03306,0.77859,0.311,0.27635,0.01478,-0.00638,-0.00407,0.45224,0.66515,0.6606,12.59829,15.67609,16.24228,0.08786,0.0989,0.09722,1.33697,0.51266,0.6752,0.69366,13.37688,15.9871,16.51863,True,0.10264,0.09252,0.09314,0.70717,1.8953,2.15532,42c7b34a5f9e440baf4d8ce1cf75922c,scene-0017
straight,0.7747,0.82819,0.80494,17.09962,18.398,19.08964,0.12744,0.13841,0.19692,0.2355,0.17742,-0.0146,3.26918,2.4888,-0.85229,0.04428,0.05057,0.04121,0.01145,0.08057,-0.16311,0.18154,0.31186,-0.80366,0.00329,-0.00686,0.04284,0.5392,0.65078,0.81954,13.83043,15.9092,19.94193,0.08317,0.08785,0.1557,1.97841,0.55064,0.73135,0.65643,14.01197,16.22106,19.13827,True,0.08646,0.08099,0.19854,0.88909,3.08448,1.2261,4b4c3bc538e64867a9712470e04d61cf,scene-0017
straight,0.79951,0.79516,0.79136,17.52546,18.70861,19.26954,0.11709,0.15265,0.18632,0.06242,0.13456,0.1645,0.86827,2.46633,2.03925,0.02097,0.05544,0.07619,-0.06182,-0.05971,-0.02704,-0.51593,-1.08279,1.56856,-0.00422,-0.00811,0.08009,0.73709,0.6606,0.62687,16.65719,16.24228,17.23029,0.09612,0.09722,0.11013,0.87611,0.67527,0.60089,0.59983,16.14126,15.15949,18.79885,True,0.0919,0.08911,0.19022,0.21564,0.83712,1.97626,0966ed2dfcd744ef831f394b7933f747,scene-0017
