command,copy_codebook_cosine_s0,copy_codebook_cosine_s1,copy_codebook_cosine_s2,copy_codebook_l2_s0,copy_codebook_l2_s1,copy_codebook_l2_s2,copy_pixel_mae_s0,copy_pixel_mae_s1,copy_pixel_mae_s2,delta_copy_codebook_cosine_s0,delta_copy_codebook_cosine_s1,delta_copy_codebook_cosine_s2,delta_copy_codebook_l2_s0,delta_copy_codebook_l2_s1,delta_copy_codebook_l2_s2,delta_copy_pixel_mae_s0,delta_copy_pixel_mae_s1,delta_copy_pixel_mae_s2,delta_mirror_codebook_cosine_s0,delta_mirror_codebook_cosine_s1,delta_mirror_codebook_cosine_s2,delta_mirror_codebook_l2_s0,delta_mirror_codebook_l2_s1,delta_mirror_codebook_l2_s2,delta_mirror_pixel_mae_s0,delta_mirror_pixel_mae_s1,delta_mirror_pixel_mae_s2,gt_codebook_cosine_s0,gt_codebook_cosine_s1,gt_codebook_cosine_s2,gt_codebook_l2_s0,gt_codebook_l2_s1,gt_codebook_l2_s2,gt_pixel_mae_s0,gt_pixel_mae_s1,gt_pixel_mae_s2,mirror_codebook_cosine_s0,mirror_codebook_cosine_s1,mirror_codebook_cosine_s2,mirror_codebook_l2_s0,mirror_codebook_l2_s1,mirror_codebook_l2_s2,mirror_pixel_mae_s0,mirror_pixel_mae_s1,mirror_pixel_mae_s2,plan_ok,sample_token,scene
straight,0.53416,0.52797,0.49472,14.13155,13.78343,12.67651,0.07474,0.07273,0.05693,0.09697,0.05271,0.03493,1.78811,0.76987,0.23145,0.00539,0.00271,-0.00212,0.0,0.0,-0.04354,0.0,0.0,-0.84383,0.0,0.0,-0.00764,0.43719,0.47526,0.45979,12.34344,13.01357,12.44506,0.06935,0.07002,0.05905,0.43719,0.47526,0.41626,12.34344,13.01357,11.60122,0.06935,0.07002,0.05142,False,d1632f8b90da5a73,2021.09.09.17.18.51_veh-48_01462_01552
straight,0.01828,0.01507,0.02117,1.07551,0.96681,1.32443,0.00504,0.00448,0.00436,-0.05379,-0.05453,-0.05759,-2.76422,-2.92895,-2.78977,-0.06495,-0.06548,-0.06313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07207,0.0696,0.07876,3.83973,3.89576,4.1142,0.06999,0.06995,0.06748,0.07207,0.0696,0.07876,3.83973,3.89576,4.1142,0.06999,0.06995,0.06748,False,87892c25ae665d1b,2021.09.29.14.44.26_veh-28_00337_00504
straight,0.81974,0.87443,0.74857,17.85086,18.974,17.48853,0.14279,0.15704,0.09908,0.01091,0.06225,0.14163,-0.15825,0.60051,2.19966,-0.00286,0.03076,0.0103,0.0,0.08497,0.19317,0.0,1.1113,3.24443,0.0,0.06229,0.05616,0.80883,0.81218,0.60694,18.0091,18.37348,15.28888,0.14565,0.12628,0.08878,0.80883,0.89715,0.80011,18.0091,19.48479,18.53331,0.14565,0.18857,0.14495,False,920e8e947c165899,2021.09.16.19.12.04_veh-42_01221_01380
straight,0.65386,0.56442,0.54965,15.86751,14.22343,14.28314,0.11785,0.11374,0.09929,0.00719,0.10392,0.17516,-0.18966,1.56744,1.84097,-0.02682,0.0019,-0.01905,0.02063,0.06552,0.40332,0.39298,0.89238,6.14576,-0.00996,0.00064,0.03599,0.64667,0.4605,0.37449,16.05717,12.656,12.44217,0.14467,0.11185,0.11833,0.6673,0.52602,0.77781,16.45015,13.54838,18.58793,0.13471,0.11248,0.15432,False,51b855943c3a54ee,2021.09.29.18.19.40_veh-28_01268_01685
straight,0.04636,0.03942,0.03228,1.895,1.58052,1.62197,0.00539,0.00578,0.00684,-0.03428,-0.0389,-0.11338,-1.96153,-2.23521,-4.85908,-0.05531,-0.05604,-0.05982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08064,0.07832,0.14566,3.85653,3.81573,6.48105,0.0607,0.06182,0.06666,0.08064,0.07832,0.14566,3.85653,3.81573,6.48105,0.0607,0.06182,0.06666,False,0215f62e0451581c,2021.09.09.14.18.22_veh-48_01503_01761
straight,0.57697,0.56979,0.53434,14.12838,14.18195,13.90664,0.08084,0.10854,0.09303,-0.1292,0.09983,0.1268,-2.426,1.54859,1.67997,-0.01898,0.03421,0.03028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70617,0.46996,0.40754,16.55438,12.63336,12.22667,0.09982,0.07433,0.06275,0.70617,0.46996,0.40754,16.55438,12.63336,12.22667,0.09982,0.07433,0.06275,False,c6b63680ae2c5255,2021.10.06.07.26.10_veh-52_00006_00398
straight,0.51842,0.66616,0.60763,13.90075,15.87537,15.09793,0.07201,0.09122,0.08763,0.01382,0.18806,0.04697,0.07416,3.00969,0.6143,-0.0074,0.01543,0.00724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046,0.4781,0.56066,13.82659,12.86568,14.48363,0.07941,0.07579,0.08039,0.5046,0.4781,0.56066,13.82659,12.86568,14.48363,0.07941,0.07579,0.08039,False,79a0221fee2d5369,2021.09.16.19.27.01_veh-45_01749_03230
straight,0.52723,0.68357,0.66959,13.94674,16.50311,16.53895,0.10273,0.11289,0.13132,-0.06845,0.08136,0.09149,-1.17427,1.42835,1.96584,-0.01682,-0.00806,0.01201,0.0424,0.0,0.0,0.56249,0.0,0.0,0.00435,0.0,0.0,0.59568,0.60221,0.57809,15.121,15.07476,14.57311,0.11955,0.12095,0.11931,0.63807,0.60221,0.57809,15.68349,15.07476,14.57311,0.1239,0.12095,0.11931,False,8e7c8f2d49c55305,2021.06.28.20.24.43_veh-38_03385_04952
straight,0.50365,0.47699,0.45746,12.29349,11.83758,11.74362,0.07541,0.07212,0.08093,-0.14835,-0.19704,-0.07114,-2.96157,-3.61529,-1.39916,-0.02917,-0.04662,-0.02337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65201,0.67404,0.5286,15.25506,15.45287,13.14278,0.10458,0.11874,0.1043,0.65201,0.67404,0.5286,15.25506,15.45287,13.14278,0.10458,0.11874,0.1043,False,33487cefec4f5068,2021.06.28.20.24.43_veh-38_03385_04952
straight,0.02271,0.03236,0.06315,1.78332,1.83915,3.14959,0.00792,0.01117,0.01235,-0.03566,-0.05247,-0.03421,-2.37896,-2.8509,-1.89101,-0.04775,-0.04597,-0.04405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05837,0.08484,0.09736,4.16228,4.69005,5.0406,0.05566,0.05714,0.05641,0.05837,0.08484,0.09736,4.16228,4.69005,5.0406,0.05566,0.05714,0.05641,False,887cd9b2f3d5525d,2021.08.30.14.54.34_veh-40_00439_00835
straight,0.40466,0.40089,0.35273,11.09009,11.05268,10.30892,0.05981,0.0556,0.06043,0.00129,-0.09623,-0.20234,-0.79279,-2.39949,-3.87156,-0.02849,-0.04017,-0.03529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40337,0.49713,0.55507,11.88288,13.45217,14.18048,0.08831,0.09577,0.09572,0.40337,0.49713,0.55507,11.88288,13.45217,14.18048,0.08831,0.09577,0.09572,False,4e18937ea7c35f18,2021.05.25.14.24.08_veh-25_03764_04034
straight,0.46247,0.49039,0.47741,11.70062,11.89725,12.10865,0.06118,0.05961,0.06425,-0.13367,-0.03677,-0.10718,-3.18112,-1.21899,-2.51047,-0.03125,-0.0222,-0.01965,0.16485,-0.00266,0.16066,2.48201,-0.13101,2.8639,0.03443,-0.00163,0.01676,0.59614,0.52716,0.58459,14.88174,13.11624,14.61911,0.09244,0.08181,0.0839,0.76098,0.5245,0.74524,17.36375,12.98523,17.48302,0.12687,0.08018,0.10065,False,3726cccb6f1c5950,2021.06.28.18.03.27_veh-14_00620_01581
straight,0.06772,0.07758,0.10875,3.22573,3.33161,4.20014,0.00853,0.01051,0.01412,-0.28069,-0.05535,-0.29755,-7.74459,-2.76233,-8.34897,-0.09663,-0.06651,-0.1232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34841,0.13292,0.40631,10.97033,6.09393,12.54911,0.10516,0.07702,0.13732,0.34841,0.13292,0.40631,10.97033,6.09393,12.54911,0.10516,0.07702,0.13732,False,8a96bc11a6565123,2021.06.28.21.16.05_veh-14_00957_01198
left,0.43436,0.51456,0.67289,10.58144,11.25609,14.42526,0.03755,0.04384,0.06234,-0.21564,0.16904,0.00242,-3.91052,1.65277,-0.72294,-0.02293,-0.0077,-0.00662,0.0,0.0,0.07048,0.0,0.0,0.95091,0.0,0.0,0.02856,0.65,0.34552,0.67047,14.49196,9.60332,15.1482,0.06048,0.05154,0.06896,0.65,0.34552,0.74095,14.49196,9.60332,16.09911,0.06048,0.05154,0.09751,False,7bd504ce0e1950b9,2021.08.30.16.16.44_veh-40_00256_00716
straight,0.42406,0.55631,0.56164,12.57067,14.70382,13.47233,0.04254,0.05537,0.05152,-0.01652,0.0815,-0.06561,0.04189,1.99485,-1.20076,-0.01527,0.00101,-0.01963,0.0,0.06616,-0.02411,0.0,1.06413,-0.06589,0.0,0.00329,-0.00259,0.44058,0.47481,0.62725,12.52878,12.70896,14.67309,0.05781,0.05436,0.07115,0.44058,0.54097,0.60314,12.52878,13.77309,14.60721,0.05781,0.05765,0.06856,False,2286f542212b51d2,2021.09.09.18.04.06_veh-40_00743_01071
straight,0.01183,0.02069,0.01896,0.982,1.26255,1.08456,0.00477,0.00496,0.00494,-0.09568,-0.18003,-0.18191,-4.64518,-6.02706,-6.17819,-0.07677,-0.07547,-0.0869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10751,0.20072,0.20087,5.62718,7.28961,7.26275,0.08154,0.08042,0.09184,0.10751,0.20072,0.20087,5.62718,7.28961,7.26275,0.08154,0.08042,0.09184,False,96e832c80bdc5db2,2021.09.29.19.02.14_veh-28_00964_01689
straight,0.60054,0.68851,0.63223,15.41504,16.40067,15.80251,0.07915,0.08096,0.08796,0.00584,0.08593,0.08596,0.64225,0.74657,1.50514,-0.0073,-0.01601,0.00891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5947,0.60258,0.54627,14.77279,15.65411,14.29737,0.08645,0.09697,0.07905,0.5947,0.60258,0.54627,14.77279,15.65411,14.29737,0.08645,0.09697,0.07905,False,25836cce97c858fb,2021.09.16.14.39.34_veh-42_00297_00935
